春日未来1位	1371015 pt
春日未来2位	881913 pt
春日未来3位	880609 pt
春日未来4位	774898 pt
春日未来5位	726447 pt
春日未来6位	612390 pt
春日未来7位	597053 pt
春日未来8位	543926 pt
春日未来9位	492213 pt
春日未来10位	464012 pt
春日未来11位	435473 pt
春日未来12位	434231 pt
春日未来13位	430770 pt
春日未来14位	420249 pt
春日未来15位	363531 pt
春日未来16位	347445 pt
春日未来17位	332301 pt
春日未来18位	326108 pt
春日未来19位	313629 pt
春日未来20位	278551 pt
春日未来21位	257716 pt
春日未来22位	248698 pt
春日未来23位	241619 pt
春日未来24位	237324 pt
春日未来25位	234801 pt
春日未来26位	226331 pt
春日未来27位	206731 pt
春日未来28位	205103 pt
春日未来29位	202739 pt
春日未来30位	201378 pt
最上静香1位	2411705 pt
最上静香2位	1948096 pt
最上静香3位	1269625 pt
最上静香4位	831272 pt
最上静香5位	501300 pt
最上静香6位	464860 pt
最上静香7位	419120 pt
最上静香8位	414681 pt
最上静香9位	388638 pt
最上静香10位	330161 pt
最上静香11位	325112 pt
最上静香12位	286070 pt
最上静香13位	265896 pt
最上静香14位	263742 pt
最上静香15位	252659 pt
最上静香16位	245234 pt
最上静香17位	226571 pt
最上静香18位	217449 pt
最上静香19位	215774 pt
最上静香20位	210331 pt
最上静香21位	207037 pt
最上静香22位	188405 pt
最上静香23位	180121 pt
最上静香24位	168765 pt
最上静香25位	166078 pt
最上静香26位	159539 pt
最上静香27位	154900 pt
最上静香28位	145874 pt
最上静香29位	144513 pt
最上静香30位	137966 pt
伊吹翼1位	1135900 pt
伊吹翼2位	752840 pt
伊吹翼3位	565047 pt
伊吹翼4位	538457 pt
伊吹翼5位	526761 pt
伊吹翼6位	520660 pt
伊吹翼7位	505565 pt
伊吹翼8位	495219 pt
伊吹翼9位	488090 pt
伊吹翼10位	447994 pt
伊吹翼11位	445760 pt
伊吹翼12位	391949 pt
伊吹翼13位	389881 pt
伊吹翼14位	301219 pt
伊吹翼15位	293383 pt
伊吹翼16位	285704 pt
伊吹翼17位	272885 pt
伊吹翼18位	271524 pt
伊吹翼19位	263068 pt
伊吹翼20位	251770 pt
伊吹翼21位	251542 pt
伊吹翼22位	244397 pt
伊吹翼23位	242036 pt
伊吹翼24位	232012 pt
伊吹翼25位	227331 pt
伊吹翼26位	218462 pt
伊吹翼27位	208317 pt
伊吹翼28位	180825 pt
伊吹翼29位	173546 pt
伊吹翼30位	168494 pt
田中琴葉1位	4323279 pt
田中琴葉2位	1914338 pt
田中琴葉3位	1300218 pt
田中琴葉4位	1134659 pt
田中琴葉5位	1057341 pt
田中琴葉6位	1004051 pt
田中琴葉7位	905722 pt
田中琴葉8位	860007 pt
田中琴葉9位	847068 pt
田中琴葉10位	701036 pt
田中琴葉11位	679470 pt
田中琴葉12位	558569 pt
田中琴葉13位	557675 pt
田中琴葉14位	546240 pt
田中琴葉15位	504947 pt
田中琴葉16位	490636 pt
田中琴葉17位	460179 pt
田中琴葉18位	453731 pt
田中琴葉19位	444605 pt
田中琴葉20位	427057 pt
田中琴葉21位	426220 pt
田中琴葉22位	425568 pt
田中琴葉23位	397040 pt
田中琴葉24位	388211 pt
田中琴葉25位	377832 pt
田中琴葉26位	354915 pt
田中琴葉27位	338403 pt
田中琴葉28位	334399 pt
田中琴葉29位	331496 pt
田中琴葉30位	330140 pt
島原エレナ1位	1764451 pt
島原エレナ2位	1417831 pt
島原エレナ3位	825635 pt
島原エレナ4位	670643 pt
島原エレナ5位	608352 pt
島原エレナ6位	592419 pt
島原エレナ7位	423805 pt
島原エレナ8位	394854 pt
島原エレナ9位	384660 pt
島原エレナ10位	338979 pt
島原エレナ11位	315773 pt
島原エレナ12位	303970 pt
島原エレナ13位	276362 pt
島原エレナ14位	270943 pt
島原エレナ15位	262279 pt
島原エレナ16位	252147 pt
島原エレナ17位	221211 pt
島原エレナ18位	218741 pt
島原エレナ19位	204769 pt
島原エレナ20位	191872 pt
島原エレナ21位	167277 pt
島原エレナ22位	161919 pt
島原エレナ23位	159322 pt
島原エレナ24位	158225 pt
島原エレナ25位	144985 pt
島原エレナ26位	144536 pt
島原エレナ27位	135941 pt
島原エレナ28位	135283 pt
島原エレナ29位	123061 pt
島原エレナ30位	123046 pt
佐竹美奈子1位	1420852 pt
佐竹美奈子2位	1202052 pt
佐竹美奈子3位	1074078 pt
佐竹美奈子4位	969814 pt
佐竹美奈子5位	939376 pt
佐竹美奈子6位	928858 pt
佐竹美奈子7位	816374 pt
佐竹美奈子8位	808459 pt
佐竹美奈子9位	670732 pt
佐竹美奈子10位	646504 pt
佐竹美奈子11位	589754 pt
佐竹美奈子12位	565723 pt
佐竹美奈子13位	518197 pt
佐竹美奈子14位	504233 pt
佐竹美奈子15位	471121 pt
佐竹美奈子16位	443205 pt
佐竹美奈子17位	440753 pt
佐竹美奈子18位	408554 pt
佐竹美奈子19位	397060 pt
佐竹美奈子20位	364883 pt
佐竹美奈子21位	346295 pt
佐竹美奈子22位	328126 pt
佐竹美奈子23位	307049 pt
佐竹美奈子24位	271908 pt
佐竹美奈子25位	269067 pt
佐竹美奈子26位	266951 pt
佐竹美奈子27位	262720 pt
佐竹美奈子28位	260403 pt
佐竹美奈子29位	255701 pt
佐竹美奈子30位	253317 pt
所恵美1位	779276 pt
所恵美2位	776834 pt
所恵美3位	700450 pt
所恵美4位	524892 pt
所恵美5位	500682 pt
所恵美6位	497985 pt
所恵美7位	450816 pt
所恵美8位	433438 pt
所恵美9位	418941 pt
所恵美10位	403119 pt
所恵美11位	395540 pt
所恵美12位	377778 pt
所恵美13位	377626 pt
所恵美14位	371072 pt
所恵美15位	362486 pt
所恵美16位	342474 pt
所恵美17位	334505 pt
所恵美18位	331800 pt
所恵美19位	318608 pt
所恵美20位	308913 pt
所恵美21位	293537 pt
所恵美22位	283179 pt
所恵美23位	282909 pt
所恵美24位	265026 pt
所恵美25位	262047 pt
所恵美26位	252379 pt
所恵美27位	248967 pt
所恵美28位	241472 pt
所恵美29位	234996 pt
所恵美30位	226927 pt
徳川まつり1位	709384 pt
徳川まつり2位	562962 pt
徳川まつり3位	548374 pt
徳川まつり4位	521567 pt
徳川まつり5位	371152 pt
徳川まつり6位	370507 pt
徳川まつり7位	347312 pt
徳川まつり8位	293082 pt
徳川まつり9位	255290 pt
徳川まつり10位	249458 pt
徳川まつり11位	237881 pt
徳川まつり12位	234982 pt
徳川まつり13位	208841 pt
徳川まつり14位	188242 pt
徳川まつり15位	185285 pt
徳川まつり16位	182133 pt
徳川まつり17位	180699 pt
徳川まつり18位	178924 pt
徳川まつり19位	175405 pt
徳川まつり20位	173578 pt
徳川まつり21位	167367 pt
徳川まつり22位	165822 pt
徳川まつり23位	153076 pt
徳川まつり24位	152466 pt
徳川まつり25位	141758 pt
徳川まつり26位	130795 pt
徳川まつり27位	127426 pt
徳川まつり28位	122304 pt
徳川まつり29位	112052 pt
徳川まつり30位	110173 pt
箱崎星梨花1位	1274841 pt
箱崎星梨花2位	933918 pt
箱崎星梨花3位	798878 pt
箱崎星梨花4位	772034 pt
箱崎星梨花5位	730196 pt
箱崎星梨花6位	688214 pt
箱崎星梨花7位	581478 pt
箱崎星梨花8位	548289 pt
箱崎星梨花9位	529792 pt
箱崎星梨花10位	433243 pt
箱崎星梨花11位	425657 pt
箱崎星梨花12位	402329 pt
箱崎星梨花13位	379910 pt
箱崎星梨花14位	356482 pt
箱崎星梨花15位	343557 pt
箱崎星梨花16位	324458 pt
箱崎星梨花17位	318661 pt
箱崎星梨花18位	311752 pt
箱崎星梨花19位	305558 pt
箱崎星梨花20位	299658 pt
箱崎星梨花21位	296520 pt
箱崎星梨花22位	295426 pt
箱崎星梨花23位	295198 pt
箱崎星梨花24位	241075 pt
箱崎星梨花25位	240352 pt
箱崎星梨花26位	225522 pt
箱崎星梨花27位	212594 pt
箱崎星梨花28位	194830 pt
箱崎星梨花29位	193079 pt
箱崎星梨花30位	190409 pt
野々原茜1位	644438 pt
野々原茜2位	322945 pt
野々原茜3位	315190 pt
野々原茜4位	309313 pt
