春日未来60位	2504392 pt
春日未来80位	2404462 pt
春日未来100位	2325806 pt
春日未来120位	2269957 pt
春日未来140位	2208473 pt
春日未来160位	2144837 pt
春日未来180位	2102477 pt
春日未来200位	2046990 pt
春日未来220位	2006753 pt
春日未来240位	1909959 pt
春日未来260位	1501120 pt
春日未来280位	620654 pt
春日未来300位	355921 pt
最上静香60位	3007615 pt
最上静香80位	2968570 pt
最上静香100位	2815040 pt
最上静香120位	2709420 pt
最上静香140位	2607837 pt
最上静香160位	2543115 pt
最上静香180位	2501567 pt
最上静香200位	2444641 pt
最上静香220位	2351405 pt
最上静香240位	2164370 pt
最上静香260位	1464893 pt
最上静香280位	852084 pt
最上静香300位	394888 pt
伊吹翼60位	2310322 pt
伊吹翼80位	2123337 pt
伊吹翼100位	2035100 pt
伊吹翼120位	2003302 pt
伊吹翼140位	1946927 pt
伊吹翼160位	1843979 pt
伊吹翼180位	1806623 pt
伊吹翼200位	1742319 pt
伊吹翼220位	1660833 pt
伊吹翼240位	1570910 pt
伊吹翼260位	1316775 pt
伊吹翼280位	457182 pt
伊吹翼300位	244702 pt
田中琴葉60位	5108000 pt
田中琴葉80位	4475238 pt
田中琴葉100位	4229529 pt
田中琴葉120位	4009234 pt
田中琴葉140位	3750400 pt
田中琴葉160位	3594542 pt
田中琴葉180位	3502038 pt
田中琴葉200位	3356547 pt
田中琴葉220位	3159490 pt
田中琴葉240位	3017221 pt
田中琴葉260位	2193440 pt
田中琴葉280位	761934 pt
田中琴葉300位	360401 pt
島原エレナ60位	2104520 pt
島原エレナ80位	2010812 pt
島原エレナ100位	2000194 pt
島原エレナ120位	1911738 pt
島原エレナ140位	1805978 pt
島原エレナ160位	1748103 pt
島原エレナ180位	1671325 pt
島原エレナ200位	1615835 pt
島原エレナ220位	1556870 pt
島原エレナ240位	1480818 pt
島原エレナ260位	1094649 pt
島原エレナ280位	538665 pt
島原エレナ300位	324842 pt
佐竹美奈子60位	2572041 pt
佐竹美奈子80位	2307755 pt
佐竹美奈子100位	2189678 pt
佐竹美奈子120位	2055804 pt
佐竹美奈子140位	2009917 pt
佐竹美奈子160位	1986147 pt
佐竹美奈子180位	1865636 pt
佐竹美奈子200位	1757486 pt
佐竹美奈子220位	1629604 pt
佐竹美奈子240位	1500334 pt
佐竹美奈子260位	895588 pt
佐竹美奈子280位	512745 pt
佐竹美奈子300位	313548 pt
所恵美60位	3115760 pt
所恵美80位	3007957 pt
所恵美100位	2904787 pt
所恵美120位	2747011 pt
所恵美140位	2655550 pt
所恵美160位	2554711 pt
所恵美180位	2490262 pt
所恵美200位	2407426 pt
所恵美220位	2332210 pt
所恵美240位	2227527 pt
所恵美260位	1560736 pt
所恵美280位	712044 pt
所恵美300位	436310 pt
徳川まつり60位	2430619 pt
徳川まつり80位	2320352 pt
徳川まつり100位	2209875 pt
徳川まつり120位	2141989 pt
徳川まつり140位	2081506 pt
徳川まつり160位	2016126 pt
徳川まつり180位	2003318 pt
徳川まつり200位	1930056 pt
徳川まつり220位	1837399 pt
徳川まつり240位	1751488 pt
徳川まつり260位	1246360 pt
徳川まつり280位	595874 pt
徳川まつり300位	357289 pt
箱崎星梨花60位	2626267 pt
箱崎星梨花80位	2514111 pt
箱崎星梨花100位	2434205 pt
箱崎星梨花120位	2314704 pt
箱崎星梨花140位	2213070 pt
箱崎星梨花160位	2138471 pt
箱崎星梨花180位	2064872 pt
箱崎星梨花200位	2005441 pt
箱崎星梨花220位	1901196 pt
箱崎星梨花240位	1744131 pt
箱崎星梨花260位	1226668 pt
箱崎星梨花280位	509360 pt
箱崎星梨花300位	296733 pt
野々原茜60位	2000584 pt
野々原茜80位	1827492 pt
野々原茜100位	1725863 pt
野々原茜120位	1621205 pt
野々原茜140位	1546339 pt
野々原茜160位	1454145 pt
野々原茜180位	1404026 pt
野々原茜200位	1332239 pt
野々原茜220位	1235200 pt
野々原茜240位	1124966 pt
野々原茜260位	709740 pt
野々原茜280位	399211 pt
野々原茜300位	272245 pt
望月杏奈60位	3036472 pt
望月杏奈80位	2980645 pt
望月杏奈100位	2801492 pt
望月杏奈120位	2617193 pt
望月杏奈140位	2554194 pt
望月杏奈160位	2455371 pt
望月杏奈180位	2373153 pt
望月杏奈200位	2301122 pt
望月杏奈220位	2181343 pt
望月杏奈240位	2016976 pt
望月杏奈260位	1366846 pt
望月杏奈280位	567044 pt
望月杏奈300位	315392 pt
ロコ60位	2301524 pt
ロコ80位	2177988 pt
ロコ100位	2095830 pt
ロコ120位	2034580 pt
ロコ140位	2005304 pt
ロコ160位	1914456 pt
ロコ180位	1805518 pt
ロコ200位	1691701 pt
ロコ220位	1628744 pt
ロコ240位	1548308 pt
ロコ260位	1186892 pt
ロコ280位	515530 pt
ロコ300位	310710 pt
七尾百合子60位	3531041 pt
七尾百合子80位	3399961 pt
七尾百合子100位	3186530 pt
七尾百合子120位	3024468 pt
七尾百合子140位	2977557 pt
七尾百合子160位	2802086 pt
七尾百合子180位	2707333 pt
七尾百合子200位	2539254 pt
七尾百合子220位	2458006 pt
七尾百合子240位	2135513 pt
七尾百合子260位	1150483 pt
七尾百合子280位	519833 pt
七尾百合子300位	302321 pt
高山紗代子60位	2600000 pt
高山紗代子80位	2489412 pt
高山紗代子100位	2365830 pt
高山紗代子120位	2302191 pt
高山紗代子140位	2239439 pt
高山紗代子160位	2158434 pt
高山紗代子180位	2108124 pt
高山紗代子200位	2060178 pt
高山紗代子220位	2016581 pt
高山紗代子240位	1901612 pt
高山紗代子260位	1222479 pt
高山紗代子280位	567114 pt
高山紗代子300位	383039 pt
松田亜利沙60位	2039292 pt
松田亜利沙80位	2002058 pt
松田亜利沙100位	1911529 pt
松田亜利沙120位	1838941 pt
松田亜利沙140位	1801681 pt
松田亜利沙160位	1722275 pt
松田亜利沙180位	1665331 pt
松田亜利沙200位	1610454 pt
松田亜利沙220位	1564069 pt
松田亜利沙240位	1511426 pt
松田亜利沙260位	996430 pt
松田亜利沙280位	488656 pt
松田亜利沙300位	294913 pt
高坂海美60位	2579901 pt
高坂海美80位	2525652 pt
高坂海美100位	2501782 pt
高坂海美120位	2423095 pt
高坂海美140位	2334267 pt
高坂海美160位	2285600 pt
高坂海美180位	2203384 pt
高坂海美200位	2127038 pt
高坂海美220位	2073797 pt
高坂海美240位	1986631 pt
高坂海美260位	1598242 pt
高坂海美280位	803185 pt
高坂海美300位	347068 pt
中谷育60位	1849971 pt
中谷育80位	1756813 pt
中谷育100位	1679379 pt
中谷育120位	1606666 pt
中谷育140位	1554669 pt
中谷育160位	1509979 pt
中谷育180位	1465885 pt
中谷育200位	1403684 pt
中谷育220位	1357781 pt
中谷育240位	1281699 pt
中谷育260位	1011995 pt
中谷育280位	563344 pt
中谷育300位	341496 pt
天空橋朋花60位	2410722 pt
天空橋朋花80位	2305189 pt
天空橋朋花100位	2254279 pt
天空橋朋花120位	2214791 pt
天空橋朋花140位	2167955 pt
天空橋朋花160位	2118772 pt
天空橋朋花180位	2072090 pt
天空橋朋花200位	2017012 pt
天空橋朋花220位	1985296 pt
