春日未来60位	425079 pt
春日未来80位	293791 pt
春日未来100位	184039 pt
春日未来120位	131299 pt
春日未来140位	93931 pt
春日未来160位	68573 pt
春日未来180位	50946 pt
春日未来200位	41593 pt
春日未来220位	34697 pt
春日未来240位	26830 pt
春日未来260位	20883 pt
春日未来280位	18890 pt
春日未来300位	15129 pt
最上静香60位	387686 pt
最上静香80位	289053 pt
最上静香100位	217958 pt
最上静香120位	145365 pt
最上静香140位	113130 pt
最上静香160位	78206 pt
最上静香180位	62965 pt
最上静香200位	46129 pt
最上静香220位	35677 pt
最上静香240位	29627 pt
最上静香260位	24717 pt
最上静香280位	19256 pt
最上静香300位	16292 pt
伊吹翼60位	343667 pt
伊吹翼80位	212845 pt
伊吹翼100位	150097 pt
伊吹翼120位	107273 pt
伊吹翼140位	66175 pt
伊吹翼160位	51839 pt
伊吹翼180位	35853 pt
伊吹翼200位	25671 pt
伊吹翼220位	19788 pt
伊吹翼240位	17200 pt
伊吹翼260位	14418 pt
伊吹翼280位	11752 pt
伊吹翼300位	10260 pt
田中琴葉60位	829689 pt
田中琴葉80位	656162 pt
田中琴葉100位	525636 pt
田中琴葉120位	359198 pt
田中琴葉140位	259664 pt
田中琴葉160位	180607 pt
田中琴葉180位	116526 pt
田中琴葉200位	82781 pt
田中琴葉220位	63960 pt
田中琴葉240位	50317 pt
田中琴葉260位	35872 pt
田中琴葉280位	25672 pt
田中琴葉300位	20975 pt
島原エレナ60位	208458 pt
島原エレナ80位	119919 pt
島原エレナ100位	63951 pt
島原エレナ120位	37163 pt
島原エレナ140位	22475 pt
島原エレナ160位	15085 pt
島原エレナ180位	10682 pt
島原エレナ200位	7736 pt
島原エレナ220位	5477 pt
島原エレナ240位	4134 pt
島原エレナ260位	3460 pt
島原エレナ280位	2598 pt
島原エレナ300位	2104 pt
佐竹美奈子60位	541289 pt
佐竹美奈子80位	327867 pt
佐竹美奈子100位	241491 pt
佐竹美奈子120位	188132 pt
佐竹美奈子140位	121372 pt
佐竹美奈子160位	70898 pt
佐竹美奈子180位	44371 pt
佐竹美奈子200位	30290 pt
佐竹美奈子220位	21773 pt
佐竹美奈子240位	15948 pt
佐竹美奈子260位	13231 pt
佐竹美奈子280位	11021 pt
佐竹美奈子300位	9268 pt
所恵美60位	483913 pt
所恵美80位	374266 pt
所恵美100位	294288 pt
所恵美120位	203841 pt
所恵美140位	156973 pt
所恵美160位	122953 pt
所恵美180位	86666 pt
所恵美200位	63124 pt
所恵美220位	49410 pt
所恵美240位	40486 pt
所恵美260位	32641 pt
所恵美280位	27465 pt
所恵美300位	23247 pt
徳川まつり60位	274973 pt
徳川まつり80位	196531 pt
徳川まつり100位	146702 pt
徳川まつり120位	103077 pt
徳川まつり140位	84259 pt
徳川まつり160位	60210 pt
徳川まつり180位	42269 pt
徳川まつり200位	32841 pt
徳川まつり220位	27290 pt
徳川まつり240位	22835 pt
徳川まつり260位	18264 pt
徳川まつり280位	16715 pt
徳川まつり300位	14063 pt
箱崎星梨花60位	466971 pt
箱崎星梨花80位	340676 pt
箱崎星梨花100位	245748 pt
箱崎星梨花120位	170366 pt
箱崎星梨花140位	103775 pt
箱崎星梨花160位	65409 pt
箱崎星梨花180位	35837 pt
箱崎星梨花200位	28203 pt
箱崎星梨花220位	22276 pt
箱崎星梨花240位	17952 pt
箱崎星梨花260位	14772 pt
箱崎星梨花280位	11946 pt
箱崎星梨花300位	10531 pt
野々原茜60位	191396 pt
野々原茜80位	131412 pt
野々原茜100位	87232 pt
野々原茜120位	56841 pt
野々原茜140位	39957 pt
野々原茜160位	30061 pt
野々原茜180位	21479 pt
野々原茜200位	17011 pt
野々原茜220位	12949 pt
野々原茜240位	9553 pt
野々原茜260位	7888 pt
野々原茜280位	6645 pt
野々原茜300位	5524 pt
望月杏奈60位	618933 pt
望月杏奈80位	449450 pt
望月杏奈100位	282572 pt
望月杏奈120位	225869 pt
望月杏奈140位	167897 pt
望月杏奈160位	109323 pt
望月杏奈180位	65979 pt
望月杏奈200位	47456 pt
望月杏奈220位	39781 pt
望月杏奈240位	33227 pt
望月杏奈260位	27432 pt
望月杏奈280位	23914 pt
望月杏奈300位	20783 pt
ロコ60位	333579 pt
ロコ80位	246380 pt
ロコ100位	157265 pt
ロコ120位	105886 pt
ロコ140位	59257 pt
ロコ160位	39268 pt
ロコ180位	28676 pt
ロコ200位	21235 pt
ロコ220位	16072 pt
ロコ240位	13422 pt
ロコ260位	10399 pt
ロコ280位	8840 pt
ロコ300位	7190 pt
七尾百合子60位	516633 pt
七尾百合子80位	351484 pt
七尾百合子100位	243744 pt
七尾百合子120位	174427 pt
七尾百合子140位	136348 pt
七尾百合子160位	87308 pt
七尾百合子180位	69908 pt
七尾百合子200位	56180 pt
七尾百合子220位	46072 pt
七尾百合子240位	34378 pt
七尾百合子260位	26795 pt
七尾百合子280位	23592 pt
七尾百合子300位	20781 pt
高山紗代子60位	532504 pt
高山紗代子80位	333082 pt
