春日未来200位	1837683 pt
春日未来210位	1806217 pt
春日未来220位	1759850 pt
春日未来230位	1513870 pt
春日未来240位	1388834 pt
春日未来250位	1190952 pt
春日未来260位	970576 pt
春日未来270位	609227 pt
春日未来280位	461807 pt
春日未来290位	352713 pt
春日未来300位	251228 pt
最上静香200位	2240217 pt
最上静香210位	2182222 pt
最上静香220位	2127862 pt
最上静香230位	1957060 pt
最上静香240位	1574938 pt
最上静香250位	1361628 pt
最上静香260位	1127317 pt
最上静香270位	748243 pt
最上静香280位	531358 pt
最上静香290位	424505 pt
最上静香300位	325233 pt
伊吹翼200位	1553365 pt
伊吹翼210位	1518691 pt
伊吹翼220位	1469503 pt
伊吹翼230位	1323832 pt
伊吹翼240位	1187732 pt
伊吹翼250位	1044113 pt
伊吹翼260位	683871 pt
伊吹翼270位	423463 pt
伊吹翼280位	267202 pt
伊吹翼290位	216770 pt
伊吹翼300位	182321 pt
田中琴葉200位	3162884 pt
田中琴葉210位	3081397 pt
田中琴葉220位	2905376 pt
田中琴葉230位	2721470 pt
田中琴葉240位	2338288 pt
田中琴葉250位	1851982 pt
田中琴葉260位	1011403 pt
田中琴葉270位	817949 pt
田中琴葉280位	546389 pt
田中琴葉290位	388783 pt
田中琴葉300位	313799 pt
島原エレナ200位	1365105 pt
島原エレナ210位	1307575 pt
島原エレナ220位	1220450 pt
島原エレナ230位	1102268 pt
島原エレナ240位	809037 pt
島原エレナ250位	575008 pt
島原エレナ260位	485572 pt
島原エレナ270位	390556 pt
島原エレナ280位	311504 pt
島原エレナ290位	246837 pt
島原エレナ300位	182690 pt
佐竹美奈子200位	1637147 pt
佐竹美奈子210位	1546206 pt
佐竹美奈子220位	1483090 pt
佐竹美奈子230位	1148224 pt
佐竹美奈子240位	820199 pt
佐竹美奈子250位	565127 pt
佐竹美奈子260位	436693 pt
佐竹美奈子270位	338988 pt
佐竹美奈子280位	268632 pt
佐竹美奈子290位	229638 pt
佐竹美奈子300位	180279 pt
所恵美200位	2234162 pt
所恵美210位	2200575 pt
所恵美220位	2121961 pt
所恵美230位	2033660 pt
所恵美240位	1836229 pt
所恵美250位	1461531 pt
所恵美260位	1213132 pt
所恵美270位	766635 pt
所恵美280位	543307 pt
所恵美290位	455090 pt
所恵美300位	378329 pt
徳川まつり200位	1714415 pt
徳川まつり210位	1651700 pt
徳川まつり220位	1568974 pt
徳川まつり230位	1410559 pt
徳川まつり240位	1129896 pt
徳川まつり250位	796317 pt
徳川まつり260位	553557 pt
徳川まつり270位	423079 pt
徳川まつり280位	369403 pt
徳川まつり290位	316137 pt
徳川まつり300位	252106 pt
箱崎星梨花200位	1837501 pt
箱崎星梨花210位	1784201 pt
箱崎星梨花220位	1740494 pt
箱崎星梨花230位	1600812 pt
箱崎星梨花240位	1338327 pt
箱崎星梨花250位	950758 pt
箱崎星梨花260位	637043 pt
箱崎星梨花270位	444073 pt
箱崎星梨花280位	321630 pt
箱崎星梨花290位	272601 pt
箱崎星梨花300位	226083 pt
野々原茜200位	1161516 pt
野々原茜210位	1132442 pt
野々原茜220位	1069439 pt
野々原茜230位	927902 pt
野々原茜240位	706687 pt
野々原茜250位	550000 pt
野々原茜260位	429403 pt
野々原茜270位	326608 pt
野々原茜280位	274415 pt
野々原茜290位	242275 pt
野々原茜300位	192322 pt
望月杏奈200位	2187753 pt
望月杏奈210位	2095390 pt
望月杏奈220位	1932739 pt
望月杏奈230位	1707054 pt
望月杏奈240位	1298819 pt
望月杏奈250位	1023434 pt
望月杏奈260位	754626 pt
望月杏奈270位	505311 pt
望月杏奈280位	361323 pt
望月杏奈290位	281983 pt
望月杏奈300位	248438 pt
ロコ200位	1596023 pt
ロコ210位	1534496 pt
ロコ220位	1484086 pt
ロコ230位	1314249 pt
ロコ240位	988555 pt
ロコ250位	763059 pt
ロコ260位	531041 pt
ロコ270位	432626 pt
ロコ280位	300707 pt
ロコ290位	244989 pt
ロコ300位	193841 pt
七尾百合子200位	2488462 pt
七尾百合子210位	2402491 pt
七尾百合子220位	2258086 pt
七尾百合子230位	1981719 pt
七尾百合子240位	1574079 pt
七尾百合子250位	1222104 pt
七尾百合子260位	816284 pt
七尾百合子270位	492047 pt
七尾百合子280位	347890 pt
七尾百合子290位	277806 pt
七尾百合子300位	226926 pt
高山紗代子200位	1920549 pt
高山紗代子210位	1886927 pt
高山紗代子220位	1813075 pt
高山紗代子230位	1555914 pt
高山紗代子240位	1406895 pt
高山紗代子250位	1177324 pt
高山紗代子260位	905238 pt
高山紗代子270位	679830 pt
高山紗代子280位	446659 pt
高山紗代子290位	393122 pt
高山紗代子300位	281515 pt
松田亜利沙200位	1414628 pt
松田亜利沙210位	1367525 pt
松田亜利沙220位	1337966 pt
松田亜利沙230位	1240160 pt
松田亜利沙240位	1039284 pt
松田亜利沙250位	842984 pt
松田亜利沙260位	591447 pt
松田亜利沙270位	428295 pt
松田亜利沙280位	316119 pt
松田亜利沙290位	256020 pt
松田亜利沙300位	197403 pt
高坂海美200位	1869592 pt
高坂海美210位	1803926 pt
高坂海美220位	1763469 pt
高坂海美230位	1661298 pt
高坂海美240位	1509698 pt
高坂海美250位	1265130 pt
高坂海美260位	1059434 pt
高坂海美270位	877057 pt
高坂海美280位	548815 pt
高坂海美290位	361174 pt
高坂海美300位	307468 pt
中谷育200位	1140525 pt
中谷育210位	1119106 pt
中谷育220位	1077480 pt
中谷育230位	1011716 pt
中谷育240位	924653 pt
中谷育250位	727434 pt
中谷育260位	561303 pt
中谷育270位	422005 pt
中谷育280位	367549 pt
中谷育290位	307342 pt
中谷育300位	248231 pt
天空橋朋花200位	1805612 pt
天空橋朋花210位	1769236 pt
天空橋朋花220位	1725415 pt
天空橋朋花230位	1607544 pt
天空橋朋花240位	1419672 pt
天空橋朋花250位	1118115 pt
天空橋朋花260位	758344 pt
天空橋朋花270位	464619 pt
天空橋朋花280位	345262 pt
天空橋朋花290位	268843 pt
天空橋朋花300位	205724 pt
エミリー200位	1361433 pt
エミリー210位	1287188 pt
エミリー220位	1187303 pt
エミリー230位	1091605 pt
エミリー240位	809264 pt
エミリー250位	509269 pt
