春日未来200位	2140205 pt
春日未来210位	2124334 pt
春日未来220位	2103628 pt
春日未来230位	2070415 pt
春日未来240位	2010243 pt
春日未来250位	1951264 pt
春日未来260位	1848562 pt
春日未来270位	1063806 pt
春日未来280位	631961 pt
春日未来290位	480217 pt
春日未来300位	360263 pt
最上静香200位	2482499 pt
最上静香210位	2444575 pt
最上静香220位	2416401 pt
最上静香230位	2369605 pt
最上静香240位	2289648 pt
最上静香250位	2218697 pt
最上静香260位	1679784 pt
最上静香270位	1291690 pt
最上静香280位	931643 pt
最上静香290位	559213 pt
最上静香300位	426964 pt
伊吹翼200位	1830591 pt
伊吹翼210位	1802469 pt
伊吹翼220位	1777964 pt
伊吹翼230位	1762026 pt
伊吹翼240位	1725095 pt
伊吹翼250位	1677672 pt
伊吹翼260位	1579366 pt
伊吹翼270位	1349139 pt
伊吹翼280位	540612 pt
伊吹翼290位	357533 pt
伊吹翼300位	278768 pt
田中琴葉200位	3378906 pt
田中琴葉210位	3308090 pt
田中琴葉220位	3232954 pt
田中琴葉230位	3198061 pt
田中琴葉240位	3155262 pt
田中琴葉250位	3024834 pt
田中琴葉260位	2208164 pt
田中琴葉270位	1108145 pt
田中琴葉280位	846104 pt
田中琴葉290位	468619 pt
田中琴葉300位	402711 pt
島原エレナ200位	1742605 pt
島原エレナ210位	1720424 pt
島原エレナ220位	1705391 pt
島原エレナ230位	1674431 pt
島原エレナ240位	1644755 pt
島原エレナ250位	1615835 pt
島原エレナ260位	1494057 pt
島原エレナ270位	1228037 pt
島原エレナ280位	613390 pt
島原エレナ290位	449766 pt
島原エレナ300位	336780 pt
佐竹美奈子200位	1822135 pt
佐竹美奈子210位	1786208 pt
佐竹美奈子220位	1731996 pt
佐竹美奈子230位	1701158 pt
佐竹美奈子240位	1672515 pt
佐竹美奈子250位	1580896 pt
佐竹美奈子260位	1387719 pt
佐竹美奈子270位	1014062 pt
佐竹美奈子280位	722926 pt
佐竹美奈子290位	485181 pt
佐竹美奈子300位	390335 pt
所恵美200位	2481890 pt
所恵美210位	2462493 pt
所恵美220位	2417979 pt
所恵美230位	2365752 pt
所恵美240位	2311530 pt
所恵美250位	2234285 pt
所恵美260位	1887920 pt
所恵美270位	1355006 pt
所恵美280位	744107 pt
所恵美290位	530304 pt
所恵美300位	440076 pt
徳川まつり200位	1988068 pt
徳川まつり210位	1959259 pt
徳川まつり220位	1903328 pt
徳川まつり230位	1868745 pt
徳川まつり240位	1832352 pt
徳川まつり250位	1770546 pt
徳川まつり260位	1580617 pt
徳川まつり270位	1050783 pt
徳川まつり280位	712106 pt
徳川まつり290位	443085 pt
徳川まつり300位	381198 pt
箱崎星梨花200位	2041437 pt
箱崎星梨花210位	2012595 pt
箱崎星梨花220位	1998729 pt
箱崎星梨花230位	1921254 pt
箱崎星梨花240位	1880007 pt
箱崎星梨花250位	1798780 pt
箱崎星梨花260位	1569413 pt
箱崎星梨花270位	1056411 pt
箱崎星梨花280位	612652 pt
箱崎星梨花290位	413706 pt
箱崎星梨花300位	313400 pt
野々原茜200位	1376649 pt
野々原茜210位	1338443 pt
野々原茜220位	1300752 pt
野々原茜230位	1265746 pt
野々原茜240位	1224448 pt
野々原茜250位	1158865 pt
野々原茜260位	977318 pt
野々原茜270位	756765 pt
野々原茜280位	638116 pt
野々原茜290位	475744 pt
野々原茜300位	387350 pt
望月杏奈200位	2356631 pt
望月杏奈210位	2320700 pt
望月杏奈220位	2281742 pt
望月杏奈230位	2224274 pt
望月杏奈240位	2155627 pt
望月杏奈250位	2081340 pt
望月杏奈260位	1786721 pt
望月杏奈270位	1256325 pt
望月杏奈280位	695428 pt
望月杏奈290位	454313 pt
望月杏奈300位	337030 pt
ロコ200位	1779288 pt
ロコ210位	1722747 pt
ロコ220位	1702543 pt
ロコ230位	1675350 pt
ロコ240位	1635976 pt
ロコ250位	1603267 pt
ロコ260位	1334114 pt
ロコ270位	964650 pt
ロコ280位	573962 pt
ロコ290位	468607 pt
ロコ300位	346017 pt
七尾百合子200位	2619905 pt
七尾百合子210位	2524172 pt
七尾百合子220位	2503202 pt
七尾百合子230位	2455561 pt
七尾百合子240位	2344272 pt
七尾百合子250位	2138872 pt
七尾百合子260位	1598485 pt
七尾百合子270位	1167298 pt
七尾百合子280位	858830 pt
七尾百合子290位	475645 pt
七尾百合子300位	375016 pt
高山紗代子200位	2112252 pt
高山紗代子210位	2103989 pt
高山紗代子220位	2071800 pt
高山紗代子230位	2022476 pt
高山紗代子240位	1984579 pt
高山紗代子250位	1850477 pt
高山紗代子260位	1429185 pt
高山紗代子270位	1005653 pt
高山紗代子280位	641459 pt
高山紗代子290位	455512 pt
高山紗代子300位	394550 pt
松田亜利沙200位	1685294 pt
松田亜利沙210位	1641495 pt
松田亜利沙220位	1612912 pt
松田亜利沙230位	1596660 pt
松田亜利沙240位	1581800 pt
松田亜利沙250位	1533190 pt
松田亜利沙260位	1218437 pt
松田亜利沙270位	695563 pt
松田亜利沙280位	546371 pt
松田亜利沙290位	379739 pt
松田亜利沙300位	302582 pt
