春日未来200位	1879536 pt
春日未来210位	1828560 pt
春日未来220位	1800852 pt
春日未来230位	1657959 pt
春日未来240位	1471631 pt
春日未来250位	1296708 pt
春日未来260位	1085060 pt
春日未来270位	682215 pt
春日未来280位	462800 pt
春日未来290位	352713 pt
春日未来300位	255154 pt
最上静香200位	2268297 pt
最上静香210位	2234077 pt
最上静香220位	2166534 pt
最上静香230位	2028093 pt
最上静香240位	1641372 pt
最上静香250位	1452750 pt
最上静香260位	1158750 pt
最上静香270位	796070 pt
最上静香280位	574505 pt
最上静香290位	436326 pt
最上静香300位	329109 pt
伊吹翼200位	1604677 pt
伊吹翼210位	1548470 pt
伊吹翼220位	1514614 pt
伊吹翼230位	1440508 pt
伊吹翼240位	1259561 pt
伊吹翼250位	1126187 pt
伊吹翼260位	760278 pt
伊吹翼270位	440704 pt
伊吹翼280位	276414 pt
伊吹翼290位	221810 pt
伊吹翼300位	186001 pt
田中琴葉200位	3189306 pt
田中琴葉210位	3111422 pt
田中琴葉220位	3003238 pt
田中琴葉230位	2820499 pt
田中琴葉240位	2558456 pt
田中琴葉250位	1953257 pt
田中琴葉260位	1256597 pt
田中琴葉270位	843116 pt
田中琴葉280位	569499 pt
田中琴葉290位	402448 pt
田中琴葉300位	336197 pt
島原エレナ200位	1395454 pt
島原エレナ210位	1337739 pt
島原エレナ220位	1297616 pt
島原エレナ230位	1194294 pt
島原エレナ240位	927670 pt
島原エレナ250位	667009 pt
島原エレナ260位	507386 pt
島原エレナ270位	427254 pt
島原エレナ280位	352786 pt
島原エレナ290位	274933 pt
島原エレナ300位	207586 pt
佐竹美奈子200位	1681238 pt
佐竹美奈子210位	1573787 pt
佐竹美奈子220位	1501404 pt
佐竹美奈子230位	1201085 pt
佐竹美奈子240位	880035 pt
佐竹美奈子250位	632639 pt
佐竹美奈子260位	438183 pt
佐竹美奈子270位	347088 pt
佐竹美奈子280位	278736 pt
佐竹美奈子290位	238736 pt
佐竹美奈子300位	197058 pt
所恵美200位	2254499 pt
所恵美210位	2214635 pt
所恵美220位	2157683 pt
所恵美230位	2038991 pt
所恵美240位	1836229 pt
所恵美250位	1508316 pt
所恵美260位	1277911 pt
所恵美270位	787117 pt
所恵美280位	547071 pt
所恵美290位	457339 pt
所恵美300位	378329 pt
徳川まつり200位	1734980 pt
徳川まつり210位	1702915 pt
徳川まつり220位	1601748 pt
徳川まつり230位	1453287 pt
徳川まつり240位	1235334 pt
徳川まつり250位	816808 pt
徳川まつり260位	644779 pt
徳川まつり270位	443085 pt
徳川まつり280位	395202 pt
徳川まつり290位	331196 pt
徳川まつり300位	270967 pt
箱崎星梨花200位	1874761 pt
箱崎星梨花210位	1805060 pt
