春日未来200位	2046990 pt
春日未来210位	2031663 pt
春日未来220位	2006753 pt
春日未来230位	1987388 pt
春日未来240位	1909959 pt
春日未来250位	1764897 pt
春日未来260位	1501120 pt
春日未来270位	1002082 pt
春日未来280位	620654 pt
春日未来290位	475562 pt
春日未来300位	355921 pt
最上静香200位	2444641 pt
最上静香210位	2407871 pt
最上静香220位	2351405 pt
最上静香230位	2321043 pt
最上静香240位	2164370 pt
最上静香250位	1953666 pt
最上静香260位	1464893 pt
最上静香270位	1171385 pt
最上静香280位	852084 pt
最上静香290位	553423 pt
最上静香300位	394888 pt
伊吹翼200位	1742319 pt
伊吹翼210位	1702209 pt
伊吹翼220位	1660833 pt
伊吹翼230位	1611359 pt
伊吹翼240位	1570910 pt
伊吹翼250位	1485864 pt
伊吹翼260位	1316775 pt
伊吹翼270位	873742 pt
伊吹翼280位	457182 pt
伊吹翼290位	311471 pt
伊吹翼300位	244702 pt
田中琴葉200位	3356547 pt
田中琴葉210位	3227646 pt
田中琴葉220位	3159490 pt
田中琴葉230位	3126327 pt
田中琴葉240位	3017221 pt
田中琴葉250位	2822023 pt
田中琴葉260位	2193440 pt
田中琴葉270位	1055176 pt
田中琴葉280位	761934 pt
田中琴葉290位	458972 pt
田中琴葉300位	360401 pt
島原エレナ200位	1615835 pt
島原エレナ210位	1591057 pt
島原エレナ220位	1556870 pt
島原エレナ230位	1517228 pt
島原エレナ240位	1480818 pt
島原エレナ250位	1378750 pt
島原エレナ260位	1094649 pt
島原エレナ270位	816796 pt
島原エレナ280位	538665 pt
島原エレナ290位	416759 pt
島原エレナ300位	324842 pt
佐竹美奈子200位	1757486 pt
佐竹美奈子210位	1691856 pt
佐竹美奈子220位	1629604 pt
佐竹美奈子230位	1583562 pt
佐竹美奈子240位	1500334 pt
佐竹美奈子250位	1349500 pt
佐竹美奈子260位	895588 pt
佐竹美奈子270位	690093 pt
佐竹美奈子280位	512745 pt
佐竹美奈子290位	395336 pt
佐竹美奈子300位	313548 pt
所恵美200位	2407426 pt
所恵美210位	2372690 pt
所恵美220位	2332210 pt
所恵美230位	2263140 pt
所恵美240位	2227527 pt
所恵美250位	2048175 pt
所恵美260位	1560736 pt
所恵美270位	1002014 pt
所恵美280位	712044 pt
所恵美290位	505925 pt
所恵美300位	436310 pt
徳川まつり200位	1930056 pt
徳川まつり210位	1888018 pt
徳川まつり220位	1837399 pt
徳川まつり230位	1809808 pt
徳川まつり240位	1751488 pt
徳川まつり250位	1558096 pt
徳川まつり260位	1246360 pt
徳川まつり270位	837409 pt
徳川まつり280位	595874 pt
徳川まつり290位	414591 pt
徳川まつり300位	357289 pt
箱崎星梨花200位	2005192 pt
箱崎星梨花210位	1986422 pt
箱崎星梨花220位	1901196 pt
箱崎星梨花230位	1855701 pt
箱崎星梨花240位	1744131 pt
箱崎星梨花250位	1608549 pt
箱崎星梨花260位	1226668 pt
箱崎星梨花270位	884172 pt
箱崎星梨花280位	509360 pt
箱崎星梨花290位	336543 pt
箱崎星梨花300位	296733 pt
野々原茜200位	1332239 pt
野々原茜210位	1290459 pt
野々原茜220位	1235200 pt
野々原茜230位	1174653 pt
野々原茜240位	1124966 pt
野々原茜250位	970773 pt
野々原茜260位	709740 pt
野々原茜270位	555317 pt
野々原茜280位	399211 pt
野々原茜290位	305206 pt
野々原茜300位	272245 pt
望月杏奈200位	2301122 pt
望月杏奈210位	2236698 pt
望月杏奈220位	2181343 pt
望月杏奈230位	2138892 pt
望月杏奈240位	2016976 pt
望月杏奈250位	1712564 pt
望月杏奈260位	1366846 pt
望月杏奈270位	817321 pt
望月杏奈280位	567044 pt
望月杏奈290位	389617 pt
望月杏奈300位	315392 pt
ロコ200位	1691701 pt
ロコ210位	1656702 pt
ロコ220位	1628744 pt
ロコ230位	1590812 pt
ロコ240位	1548308 pt
ロコ250位	1486454 pt
ロコ260位	1186892 pt
ロコ270位	784926 pt
ロコ280位	515530 pt
ロコ290位	403157 pt
ロコ300位	310710 pt
七尾百合子200位	2539254 pt
七尾百合子210位	2507302 pt
七尾百合子220位	2458006 pt
七尾百合子230位	2320501 pt
七尾百合子240位	2132601 pt
七尾百合子250位	1824334 pt
七尾百合子260位	1150483 pt
七尾百合子270位	795816 pt
七尾百合子280位	519833 pt
七尾百合子290位	375595 pt
七尾百合子300位	302321 pt
高山紗代子200位	2060178 pt
高山紗代子210位	2045093 pt
高山紗代子220位	2016581 pt
高山紗代子230位	1995970 pt
高山紗代子240位	1901612 pt
高山紗代子250位	1665670 pt
高山紗代子260位	1222479 pt
高山紗代子270位	859376 pt
高山紗代子280位	567114 pt
高山紗代子290位	451244 pt
高山紗代子300位	383039 pt
