あいどる	らんく	ID+p名	すこあ	
春日未来	1位	ID;1200000000000008422ゆたか	10163020	1
春日未来	2位	ID;200000000000007542さいとぅー	3610000	1
春日未来	3位	ID;300000000000053068anonymous	3408498	1
春日未来	4位	ID;300000000000030461ナナ	2714055	1
春日未来	5位	ID;400000000000074767ノラ	2697721	1
春日未来	6位	ID;700000000000077984魚肉	2545311	1
春日未来	7位	ID;500000000000086725iOSきち	2522418	1
春日未来	8位	ID;1300000000000078030KBS@未来ちゃんかわいい	2395447	1
春日未来	9位	ID;1200000000000097947あにP@ミリオン4th3日	2136641	1
春日未来	10位	ID;600000000000024409今日からシャカちゃん(未来ちゃん全所持)	2064818	1
春日未来	11位	ID;200000000000078221ﾏﾘｹﾛ	2056416	1
春日未来	12位	ID;500000000000050070ムギ介	2037794	1
春日未来	13位	ID;800000000000005026みょん提督	2034624	1
春日未来	14位	ID;500000000000000347のり	2014109	1
春日未来	15位	ID;100000000000051072ごつと	2012998	1
春日未来	16位	ID;44にきんご	2005712	1
春日未来	17位	ID;1400000000000051251しおどめ	2001169	1
春日未来	18位	ID;500000000000051086ミーツ	2000040	1
春日未来	19位	ID;1400000000000056013アキ	1800897	1
春日未来	20位	ID;1500000000000084431こいこい	1794770	1
春日未来	21位	ID;1300000000000022523まあち	1788711	1
春日未来	22位	ID;1500000000000001683むみん	1761787	1
春日未来	23位	ID;1200000000000056355よっしーP@同僚募集	1754141	1
春日未来	24位	ID;900000000000001445カズロウ	1690158	1
春日未来	25位	ID;1300000000000004554ひまりん	1685983	1
春日未来	26位	ID;94028DISK3	1651389	1
春日未来	27位	ID;400000000000045365保登心愛	1650784	1
春日未来	28位	ID;700000000000052571きたきた	1638158	1
春日未来	29位	ID;62161mlZ2	1619768	1
春日未来	30位	ID;800000000000000870町長	1607960	1
春日未来	31位	ID;900000000000000524怜	1592357	1
春日未来	32位	ID;500000000000083970トウテツ	1567797	1
春日未来	33位	ID;900000000000051122あずみの	1560186	1
春日未来	34位	ID;500000000000081859はっくしょん8801	1515319	1
春日未来	35位	ID;1200000000000003743きえる	1507884	1
春日未来	36位	ID;700000000000008773いんがん	1506817	1
春日未来	37位	ID;1000000000000056825古葉。	1504064	1
春日未来	38位	ID;74889シロー	1501303	1
春日未来	39位	ID;700000000000015432あかつき	1500796	1
春日未来	40位	ID;500000000000013661めがれ！	1498649	1
春日未来	41位	ID;96013八九寺	1493744	1
春日未来	42位	ID;400000000000049819銀紙	1471767	1
春日未来	43位	ID;1400000000000093922小澤祀梨	1458670	1
春日未来	44位	ID;600000000000014132hiro	1458170	1
春日未来	45位	ID;500000000000051299まきよ	1454223	1
春日未来	46位	ID;400000000000074088stardust	1440978	1
春日未来	47位	ID;400000000000101656とたけ	1430456	1
春日未来	48位	ID;900000000000074091プリズニャン	1429801	1
春日未来	49位	ID;1100000000000079686nbaws	1427650	1
春日未来	50位	ID;900000000000055247ハタ	1423068	1
春日未来	51位	ID;1100000000000003035GoE	1394970	1
春日未来	52位	ID;400000000000030769バンザイ先生	1393425	1
春日未来	53位	ID;1300000000000056705かんらく	1387512	1
春日未来	54位	ID;400000000000086098AAS	1358828	1
春日未来	55位	ID;100000000000023174あさ漬け	1346139	1
春日未来	56位	ID;500000000000099965一通	1339250	1
春日未来	57位	ID;1400000000000075979nimo	1334926	1
春日未来	58位	ID;600000000000004454伊園	1331714	1
春日未来	59位	ID;800000000000008899ぬこたゃん	1318830	1
春日未来	60位	ID;200000000000000903nas	1315518	1
春日未来	61位	ID;1400000000000000869蜻蛉	1309455	1
春日未来	62位	ID;1100000000000092933カルピス(原液)	1305119	1
春日未来	63位	ID;700000000000004861shimashi 	1296622	1
春日未来	64位	ID;200000000000056376みなしごハッチ	1292266	1
春日未来	65位	ID;1100000000000093573しまんちゅ	1287502	1
春日未来	66位	ID;1400000000000000840かすけ～ど	1282739	1
春日未来	67位	ID;1100000000000053323全身赤仮面	1241827	1
春日未来	68位	ID;1100000000000081729HANSEN	1239066	1
春日未来	69位	ID;1100000000000080689御鷹	1213643	1
春日未来	70位	ID;700000000000063664下降気流	1205936	1
春日未来	71位	ID;200000000000026379ウィーク	1203648	1
春日未来	72位	ID;1200000000000015985品吉	1187773	1
春日未来	73位	ID;400000000000000051妖狐	1172317	1
春日未来	74位	ID;1400000000000009171ぐぎゅるるる	1148915	1
春日未来	75位	ID;300000000000080414ジャン	1126666	1
春日未来	76位	ID;1200000000000000013おかゆ	1118468	1
春日未来	77位	ID;800000000000014050春日未来の焼畑農業	1094425	1
春日未来	78位	ID;1400000000000056616弱いサカナ♪	1077292	1
春日未来	79位	ID;500000000000000556ゆっ	1076482	1
春日未来	80位	ID;300000000000002499KYON	1070993	1
春日未来	81位	ID;1200000000000012526タスク	1056318	1
春日未来	82位	ID;300000000000085168Kisarasan	1048841	1
春日未来	83位	ID;400000000000000691鎖骨	1047541	1
春日未来	84位	ID;1400000000000059028うなぎ	1039880	1
春日未来	85位	ID;200000000000021349たなばた野郎	1013374	1
春日未来	86位	ID;400000000000008200みずっち	1010008	1
春日未来	87位	ID;200000000000000930てんしろ	1006715	1
春日未来	88位	ID;400000000000072940ハンクス	1006524	1
春日未来	89位	ID;1300000000000057141ガースー	1003390	1
春日未来	90位	ID;1400000000000006808ぶるすぴ	943482	1
春日未来	91位	ID;900000000000055003こんにゃく	937411	1
春日未来	92位	ID;100000000000080705ToRa@	924011	1
春日未来	93位	ID;200000000000028746じゅんき＠同僚募集中	922737	1
春日未来	94位	ID;1000000000000010337職安マン	905555	1
春日未来	95位	ID;800000000000001094えだまめ@同僚募集中	898667	1
春日未来	96位	ID;700000000000000423ファミエリ	864384	1
春日未来	97位	ID;700000000000001139ピアス	842354	1
春日未来	98位	ID;1200000000000061983kuma	822780	1
春日未来	99位	ID;1300000000000004204みおん	803641	1
春日未来	100位	ID;300000000000002246TAK	772675	1
春日未来	101位	ID;700000000000081318kurotuki	738012	1
春日未来	102位	ID;700000000000047331はるうさ	733302	1
春日未来	103位	ID;700000000000004849フューチャー	731763	1
春日未来	104位	ID;1400000000000097128ホワイトドォル	720114	1
春日未来	105位	ID;800000000000051878ケース	693118	1
春日未来	106位	ID;900000000000012323フリテン	675590	1
春日未来	107位	ID;300000000000010661あろんぐ	673728	1
春日未来	108位	ID;1200000000000079254クマノミ	673015	1
春日未来	109位	ID;1200000000000005578うけ	667772	1
春日未来	110位	ID;600000000000079448青藍	667761	1
春日未来	111位	ID;200000000000004861あたたん	659201	1
春日未来	112位	ID;400000000000020235フリーザ	628840	1
春日未来	113位	ID;900000000000000992天体戦士Ｐ	609801	1
春日未来	114位	ID;1300000000000007096まっさン	604447	1
春日未来	115位	ID;500000000000051447へろ@同僚募集中	591354	1
春日未来	116位	ID;600000000000051510モモケン	589963	1
春日未来	117位	ID;300000000000078396ゆのさぎ	587586	1
春日未来	118位	ID;400000000000077892エビチップ	586689	1
春日未来	119位	ID;1200000000000007531surround7.1ch	586521	1
春日未来	120位	ID;1100000000000050878神無月葵	581666	1
春日未来	121位	ID;1400000000000012168ぢる	554868	1
春日未来	122位	ID;1000000000000001707ヒナミライ	547587	1
春日未来	123位	ID;200000000000038107mine	547371	1
春日未来	124位	ID;500000000000006543ユウキ	547082	1
春日未来	125位	ID;600000000000004089プロデューサー	537876	1
春日未来	126位	ID;200000000000024983リョーータ	532494	1
春日未来	127位	ID;600000000000000188あかまる	532168	1
春日未来	128位	ID;1300000000000000507まさ	531540	1
春日未来	129位	ID;1200000000000034434しおん	523999	1
春日未来	130位	ID;1100000000000021400未来ギター	520199	1
春日未来	131位	ID;600000000000086791もっきー	508182	1
春日未来	132位	ID;28130真夢	494735	1
春日未来	133位	ID;1300000000000043081β版の輝き	488768	1
春日未来	134位	ID;200000000000074122びお	486997	1
春日未来	135位	ID;300000000000061324RISKY	480799	1
