春日未来60位	1774187 pt
春日未来80位	1582159 pt
春日未来100位	1448868 pt
春日未来120位	1157716 pt
春日未来140位	935165 pt
春日未来160位	773379 pt
春日未来180位	598233 pt
春日未来200位	377260 pt
春日未来220位	184613 pt
春日未来240位	137828 pt
春日未来260位	106070 pt
春日未来280位	77246 pt
春日未来300位	60705 pt
最上静香60位	1767815 pt
最上静香80位	1566451 pt
最上静香100位	1460709 pt
最上静香120位	1295617 pt
最上静香140位	1078245 pt
最上静香160位	813019 pt
最上静香180位	626733 pt
最上静香200位	434013 pt
最上静香220位	307412 pt
最上静香240位	217093 pt
最上静香260位	165091 pt
最上静香280位	128260 pt
最上静香300位	97184 pt
伊吹翼60位	1615171 pt
伊吹翼80位	1415610 pt
伊吹翼100位	1213001 pt
伊吹翼120位	969895 pt
伊吹翼140位	613846 pt
伊吹翼160位	425771 pt
伊吹翼180位	241207 pt
伊吹翼200位	138592 pt
伊吹翼220位	96588 pt
伊吹翼240位	71028 pt
伊吹翼260位	53717 pt
伊吹翼280位	41209 pt
伊吹翼300位	36430 pt
田中琴葉60位	3019727 pt
田中琴葉80位	2752755 pt
田中琴葉100位	2480039 pt
田中琴葉120位	2261028 pt
田中琴葉140位	1912728 pt
田中琴葉160位	1548902 pt
田中琴葉180位	1217333 pt
田中琴葉200位	941854 pt
田中琴葉220位	653505 pt
田中琴葉240位	370688 pt
田中琴葉260位	191770 pt
田中琴葉280位	125774 pt
田中琴葉300位	94547 pt
島原エレナ60位	1104674 pt
島原エレナ80位	1000745 pt
島原エレナ100位	822372 pt
島原エレナ120位	556262 pt
島原エレナ140位	406048 pt
島原エレナ160位	269670 pt
島原エレナ180位	165923 pt
島原エレナ200位	86097 pt
島原エレナ220位	57095 pt
島原エレナ240位	42874 pt
島原エレナ260位	30147 pt
島原エレナ280位	25345 pt
島原エレナ300位	19766 pt
佐竹美奈子60位	2008825 pt
佐竹美奈子80位	1803371 pt
佐竹美奈子100位	1609115 pt
佐竹美奈子120位	1323792 pt
佐竹美奈子140位	1055937 pt
佐竹美奈子160位	583606 pt
佐竹美奈子180位	369479 pt
佐竹美奈子200位	236677 pt
佐竹美奈子220位	158807 pt
佐竹美奈子240位	88485 pt
佐竹美奈子260位	62848 pt
佐竹美奈子280位	47845 pt
佐竹美奈子300位	37557 pt
所恵美60位	1991885 pt
所恵美80位	1802307 pt
所恵美100位	1677343 pt
所恵美120位	1492250 pt
所恵美140位	1302676 pt
所恵美160位	1005423 pt
所恵美180位	792847 pt
所恵美200位	595597 pt
所恵美220位	348775 pt
所恵美240位	247214 pt
所恵美260位	174644 pt
所恵美280位	117292 pt
所恵美300位	92252 pt
徳川まつり60位	1624004 pt
徳川まつり80位	1419374 pt
徳川まつり100位	1231555 pt
徳川まつり120位	1032594 pt
徳川まつり140位	777164 pt
徳川まつり160位	539891 pt
徳川まつり180位	333358 pt
徳川まつり200位	211133 pt
徳川まつり220位	164148 pt
徳川まつり240位	132806 pt
徳川まつり260位	109775 pt
徳川まつり280位	85392 pt
徳川まつり300位	61469 pt
箱崎星梨花60位	1963855 pt
箱崎星梨花80位	1683732 pt
箱崎星梨花100位	1530649 pt
箱崎星梨花120位	1221458 pt
箱崎星梨花140位	855790 pt
箱崎星梨花160位	613429 pt
箱崎星梨花180位	350615 pt
箱崎星梨花200位	192405 pt
箱崎星梨花220位	131871 pt
箱崎星梨花240位	87814 pt
箱崎星梨花260位	62521 pt
箱崎星梨花280位	47981 pt
箱崎星梨花300位	39363 pt
野々原茜60位	1087484 pt
野々原茜80位	1002299 pt
野々原茜100位	888830 pt
野々原茜120位	640452 pt
野々原茜140位	495980 pt
野々原茜160位	300415 pt
野々原茜180位	222273 pt
野々原茜200位	156143 pt
野々原茜220位	110361 pt
野々原茜240位	75253 pt
野々原茜260位	60185 pt
