春日未来200位	2103628 pt
春日未来210位	2089075 pt
春日未来220位	2071326 pt
春日未来230位	2037743 pt
春日未来240位	1981025 pt
春日未来250位	1878511 pt
春日未来260位	1700081 pt
春日未来270位	1063077 pt
春日未来280位	631961 pt
春日未来290位	479884 pt
春日未来300位	355921 pt
最上静香200位	2466582 pt
最上静香210位	2422468 pt
最上静香220位	2393326 pt
最上静香230位	2355256 pt
最上静香240位	2242468 pt
最上静香250位	2094860 pt
最上静香260位	1568007 pt
最上静香270位	1233217 pt
最上静香280位	924548 pt
最上静香290位	558547 pt
最上静香300位	426964 pt
伊吹翼200位	1810334 pt
伊吹翼210位	1756146 pt
伊吹翼220位	1744726 pt
伊吹翼230位	1709928 pt
伊吹翼240位	1671691 pt
伊吹翼250位	1622900 pt
伊吹翼260位	1508210 pt
伊吹翼270位	1037975 pt
伊吹翼280位	508011 pt
伊吹翼290位	350254 pt
伊吹翼300位	270114 pt
田中琴葉200位	3377007 pt
田中琴葉210位	3245732 pt
田中琴葉220位	3191574 pt
田中琴葉230位	3155262 pt
田中琴葉240位	3120046 pt
田中琴葉250位	2937811 pt
田中琴葉260位	2193440 pt
田中琴葉270位	1093239 pt
田中琴葉280位	829627 pt
田中琴葉290位	468619 pt
田中琴葉300位	392512 pt
島原エレナ200位	1686497 pt
島原エレナ210位	1644559 pt
島原エレナ220位	1624069 pt
島原エレナ230位	1613514 pt
島原エレナ240位	1573786 pt
島原エレナ250位	1510633 pt
島原エレナ260位	1402327 pt
島原エレナ270位	992306 pt
島原エレナ280位	600349 pt
島原エレナ290位	449766 pt
島原エレナ300位	336780 pt
佐竹美奈子200位	1812134 pt
佐竹美奈子210位	1759673 pt
佐竹美奈子220位	1703958 pt
佐竹美奈子230位	1641054 pt
佐竹美奈子240位	1607679 pt
佐竹美奈子250位	1488464 pt
佐竹美奈子260位	1149339 pt
佐竹美奈子270位	866454 pt
佐竹美奈子280位	677072 pt
佐竹美奈子290位	432054 pt
佐竹美奈子300位	353411 pt
所恵美200位	2462218 pt
所恵美210位	2423168 pt
所恵美220位	2386365 pt
所恵美230位	2342192 pt
所恵美240位	2274549 pt
所恵美250位	2168902 pt
所恵美260位	1677267 pt
所恵美270位	1221637 pt
所恵美280位	744107 pt
所恵美290位	518276 pt
所恵美300位	440076 pt
徳川まつり200位	1960237 pt
徳川まつり210位	1911153 pt
徳川まつり220位	1884698 pt
徳川まつり230位	1822375 pt
徳川まつり240位	1804002 pt
徳川まつり250位	1681031 pt
徳川まつり260位	1512624 pt
徳川まつり270位	995277 pt
徳川まつり280位	644922 pt
徳川まつり290位	431806 pt
徳川まつり300位	373533 pt
箱崎星梨花200位	2026716 pt
箱崎星梨花210位	2002981 pt
箱崎星梨花220位	1953081 pt
箱崎星梨花230位	1893930 pt
箱崎星梨花240位	1838504 pt
箱崎星梨花250位	1713279 pt
箱崎星梨花260位	1405120 pt
箱崎星梨花270位	912270 pt
箱崎星梨花280位	553727 pt
箱崎星梨花290位	365047 pt
箱崎星梨花300位	303520 pt
野々原茜200位	1359150 pt
野々原茜210位	1320100 pt
野々原茜220位	1277623 pt
野々原茜230位	1228230 pt
野々原茜240位	1173559 pt
野々原茜250位	1056083 pt
野々原茜260位	821951 pt
野々原茜270位	672176 pt
