春日未来60位	2488256 pt
春日未来80位	2370655 pt
春日未来100位	2302747 pt
春日未来120位	2239250 pt
春日未来140位	2175252 pt
春日未来160位	2101049 pt
春日未来180位	2035327 pt
春日未来200位	2004925 pt
春日未来220位	1941619 pt
春日未来240位	1836310 pt
春日未来260位	1323979 pt
春日未来280位	609469 pt
春日未来300位	353775 pt
最上静香60位	3006352 pt
最上静香80位	2944039 pt
最上静香100位	2799984 pt
最上静香120位	2668691 pt
最上静香140位	2579923 pt
最上静香160位	2521782 pt
最上静香180位	2475560 pt
最上静香200位	2413436 pt
最上静香220位	2334278 pt
最上静香240位	2088171 pt
最上静香260位	1371303 pt
最上静香280位	719585 pt
最上静香300位	391393 pt
伊吹翼60位	2303283 pt
伊吹翼80位	2123337 pt
伊吹翼100位	2024678 pt
伊吹翼120位	2002304 pt
伊吹翼140位	1897779 pt
伊吹翼160位	1825761 pt
伊吹翼180位	1769955 pt
伊吹翼200位	1711705 pt
伊吹翼220位	1625127 pt
伊吹翼240位	1528771 pt
伊吹翼260位	1066884 pt
伊吹翼280位	380494 pt
伊吹翼300位	232538 pt
田中琴葉60位	5108000 pt
田中琴葉80位	4475238 pt
田中琴葉100位	4213709 pt
田中琴葉120位	4009234 pt
田中琴葉140位	3744406 pt
田中琴葉160位	3594542 pt
田中琴葉180位	3472607 pt
田中琴葉200位	3297132 pt
田中琴葉220位	3137341 pt
田中琴葉240位	2915539 pt
田中琴葉260位	1941401 pt
田中琴葉280位	761934 pt
田中琴葉300位	360062 pt
島原エレナ60位	2055266 pt
島原エレナ80位	2005146 pt
島原エレナ100位	1956788 pt
島原エレナ120位	1842083 pt
島原エレナ140位	1776273 pt
島原エレナ160位	1652221 pt
島原エレナ180位	1582394 pt
島原エレナ200位	1518344 pt
島原エレナ220位	1476171 pt
島原エレナ240位	1380745 pt
島原エレナ260位	893221 pt
島原エレナ280位	515629 pt
島原エレナ300位	311863 pt
佐竹美奈子60位	2572041 pt
佐竹美奈子80位	2302362 pt
佐竹美奈子100位	2185301 pt
佐竹美奈子120位	2055682 pt
佐竹美奈子140位	2008903 pt
佐竹美奈子160位	1951664 pt
佐竹美奈子180位	1856898 pt
佐竹美奈子200位	1745728 pt
佐竹美奈子220位	1608856 pt
佐竹美奈子240位	1388177 pt
佐竹美奈子260位	685508 pt
佐竹美奈子280位	401830 pt
佐竹美奈子300位	304307 pt
所恵美60位	3094159 pt
所恵美80位	3005083 pt
所恵美100位	2856357 pt
所恵美120位	2735523 pt
所恵美140位	2620118 pt
所恵美160位	2514513 pt
所恵美180位	2462868 pt
所恵美200位	2381431 pt
所恵美220位	2285603 pt
所恵美240位	2105485 pt
所恵美260位	1508316 pt
所恵美280位	645870 pt
所恵美300位	415106 pt
徳川まつり60位	2415558 pt
徳川まつり80位	2315919 pt
徳川まつり100位	2171820 pt
徳川まつり120位	2101308 pt
徳川まつり140位	2038084 pt
徳川まつり160位	2006102 pt
徳川まつり180位	1957468 pt
徳川まつり200位	1867119 pt
徳川まつり220位	1805693 pt
徳川まつり240位	1682869 pt
徳川まつり260位	1097355 pt
徳川まつり280位	533104 pt
徳川まつり300位	344488 pt
箱崎星梨花60位	2626267 pt
箱崎星梨花80位	2507413 pt
箱崎星梨花100位	2407755 pt
箱崎星梨花120位	2302917 pt
箱崎星梨花140位	2205763 pt
箱崎星梨花160位	2100167 pt
箱崎星梨花180位	2033280 pt
箱崎星梨花200位	2001983 pt
箱崎星梨花220位	1889163 pt
箱崎星梨花240位	1714432 pt
箱崎星梨花260位	1084276 pt
箱崎星梨花280位	456783 pt
箱崎星梨花300位	284604 pt
野々原茜60位	2000584 pt
野々原茜80位	1820704 pt
野々原茜100位	1705294 pt
野々原茜120位	1610720 pt
野々原茜140位	1528609 pt
野々原茜160位	1441920 pt
野々原茜180位	1386941 pt
野々原茜200位	1299366 pt
野々原茜220位	1216599 pt
野々原茜240位	1050132 pt
野々原茜260位	594001 pt
野々原茜280位	381796 pt
野々原茜300位	253103 pt
望月杏奈60位	3031861 pt
望月杏奈80位	2947415 pt
望月杏奈100位	2801492 pt
望月杏奈120位	2609372 pt
望月杏奈140位	2527715 pt
望月杏奈160位	2428448 pt
望月杏奈180位	2341284 pt
望月杏奈200位	2251854 pt
望月杏奈220位	2138757 pt
望月杏奈240位	1977804 pt
望月杏奈260位	1143012 pt
望月杏奈280位	556443 pt
望月杏奈300位	302455 pt
ロコ60位	2301010 pt
ロコ80位	2171191 pt
ロコ100位	2080050 pt
ロコ120位	2025129 pt
ロコ140位	2003582 pt
ロコ160位	1899299 pt
ロコ180位	1744088 pt
ロコ200位	1652045 pt
ロコ220位	1588703 pt
ロコ240位	1493626 pt
ロコ260位	903032 pt
ロコ280位	468966 pt
ロコ300位	272998 pt
七尾百合子60位	3531041 pt
七尾百合子80位	3399641 pt
七尾百合子100位	3167570 pt
七尾百合子120位	3020873 pt
七尾百合子140位	2956208 pt
七尾百合子160位	2799877 pt
七尾百合子180位	2701865 pt
七尾百合子200位	2535859 pt
七尾百合子220位	2458006 pt
七尾百合子240位	1980927 pt
七尾百合子260位	1044212 pt
七尾百合子280位	475645 pt
七尾百合子300位	277806 pt
高山紗代子60位	2564585 pt
高山紗代子80位	2465517 pt
高山紗代子100位	2340941 pt
高山紗代子120位	2275136 pt
高山紗代子140位	2200381 pt
高山紗代子160位	2116462 pt
高山紗代子180位	2069523 pt
高山紗代子200位	2044071 pt
高山紗代子220位	2005117 pt
高山紗代子240位	1828896 pt
高山紗代子260位	1082219 pt
高山紗代子280位	567114 pt
高山紗代子300位	360409 pt
松田亜利沙60位	2017917 pt
松田亜利沙80位	2000000 pt
松田亜利沙100位	1867879 pt
松田亜利沙120位	1807957 pt
松田亜利沙140位	1743904 pt
松田亜利沙160位	1684012 pt
松田亜利沙180位	1616211 pt
松田亜利沙200位	1559931 pt
松田亜利沙220位	1517073 pt
松田亜利沙240位	1430694 pt
松田亜利沙260位	913333 pt
松田亜利沙280位	482909 pt
松田亜利沙300位	294913 pt
高坂海美60位	2551377 pt
高坂海美80位	2514750 pt
高坂海美100位	2443134 pt
高坂海美120位	2322662 pt
高坂海美140位	2257626 pt
高坂海美160位	2195273 pt
高坂海美180位	2120107 pt
高坂海美200位	2052110 pt
高坂海美220位	2007771 pt
高坂海美240位	1899935 pt
高坂海美260位	1291681 pt
高坂海美280位	800584 pt
高坂海美300位	342820 pt
中谷育60位	1831475 pt
中谷育80位	1723333 pt
中谷育100位	1642430 pt
中谷育120位	1562189 pt
中谷育140位	1515012 pt
中谷育160位	1469099 pt
中谷育180位	1410885 pt
中谷育200位	1331680 pt
中谷育220位	1279539 pt
中谷育240位	1211119 pt
中谷育260位	915288 pt
中谷育280位	556090 pt
中谷育300位	291780 pt
天空橋朋花60位	2385055 pt
天空橋朋花80位	2270493 pt
天空橋朋花100位	2214797 pt
天空橋朋花120位	2170784 pt
天空橋朋花140位	2132230 pt
天空橋朋花160位	2090779 pt
天空橋朋花180位	2040134 pt
天空橋朋花200位	1991010 pt
天空橋朋花220位	1918303 pt
天空橋朋花240位	1807637 pt
天空橋朋花260位	1269765 pt
天空橋朋花280位	525916 pt
天空橋朋花300位	255208 pt
エミリー60位	2020547 pt
エミリー80位	1948096 pt
エミリー100位	1837899 pt
エミリー120位	1797964 pt
エミリー140位	1709846 pt
エミリー160位	1611774 pt
エミリー180位	1555555 pt
エミリー200位	1504337 pt
エミリー220位	1415742 pt
エミリー240位	1211997 pt
エミリー260位	525476 pt
エミリー280位	342204 pt
エミリー300位	201313 pt
北沢志保60位	3033039 pt
北沢志保80位	2966858 pt
北沢志保100位	2725155 pt
北沢志保120位	2544857 pt
北沢志保140位	2420057 pt
北沢志保160位	2302372 pt
北沢志保180位	2196285 pt
北沢志保200位	2082167 pt
北沢志保220位	1985169 pt
北沢志保240位	1720786 pt
北沢志保260位	1109146 pt
