春日未来60位	2061939 pt
春日未来80位	2001169 pt
春日未来100位	1844655 pt
春日未来120位	1704575 pt
春日未来140位	1618252 pt
春日未来160位	1506817 pt
春日未来180位	1257216 pt
春日未来200位	991417 pt
春日未来220位	648959 pt
春日未来240位	404585 pt
春日未来260位	218176 pt
春日未来280位	165288 pt
春日未来300位	126774 pt
最上静香60位	2217854 pt
最上静香80位	2060511 pt
最上静香100位	2004854 pt
最上静香120位	1934229 pt
最上静香140位	1818340 pt
最上静香160位	1703681 pt
最上静香180位	1427329 pt
最上静香200位	1222785 pt
最上静香220位	911273 pt
最上静香240位	614393 pt
最上静香260位	445909 pt
最上静香280位	259055 pt
最上静香300位	193783 pt
伊吹翼60位	2004127 pt
伊吹翼80位	1800183 pt
伊吹翼100位	1558883 pt
伊吹翼120位	1500442 pt
伊吹翼140位	1367207 pt
伊吹翼160位	1139402 pt
伊吹翼180位	907469 pt
伊吹翼200位	513662 pt
伊吹翼220位	294571 pt
伊吹翼240位	190168 pt
伊吹翼260位	142351 pt
伊吹翼280位	101038 pt
伊吹翼300位	85269 pt
田中琴葉60位	4060593 pt
田中琴葉80位	3827539 pt
田中琴葉100位	3527805 pt
田中琴葉120位	3372740 pt
田中琴葉140位	3210855 pt
田中琴葉160位	3022913 pt
田中琴葉180位	2492134 pt
田中琴葉200位	1905347 pt
田中琴葉220位	1383872 pt
田中琴葉240位	642668 pt
田中琴葉260位	322147 pt
田中琴葉280位	216209 pt
田中琴葉300位	151173 pt
島原エレナ60位	1650214 pt
島原エレナ80位	1501047 pt
島原エレナ100位	1368452 pt
島原エレナ120位	1212537 pt
島原エレナ140位	1081929 pt
島原エレナ160位	911843 pt
島原エレナ180位	681305 pt
島原エレナ200位	462401 pt
島原エレナ220位	290641 pt
島原エレナ240位	178695 pt
島原エレナ260位	113119 pt
島原エレナ280位	81828 pt
島原エレナ300位	61061 pt
佐竹美奈子60位	2403273 pt
佐竹美奈子80位	2169738 pt
佐竹美奈子100位	2007158 pt
佐竹美奈子120位	1862176 pt
佐竹美奈子140位	1723832 pt
