春日未来200位	1966818 pt
春日未来210位	1935014 pt
春日未来220位	1880580 pt
春日未来230位	1832641 pt
春日未来240位	1780618 pt
春日未来250位	1508101 pt
春日未来260位	1301288 pt
春日未来270位	914969 pt
春日未来280位	574825 pt
春日未来290位	423803 pt
春日未来300位	319901 pt
最上静香200位	2383678 pt
最上静香210位	2350265 pt
最上静香220位	2285955 pt
最上静香230位	2184459 pt
最上静香240位	1914572 pt
最上静香250位	1675838 pt
最上静香260位	1291690 pt
最上静香270位	1038111 pt
最上静香280位	669272 pt
最上静香290位	505597 pt
最上静香300位	358934 pt
伊吹翼200位	1649846 pt
伊吹翼210位	1624542 pt
伊吹翼220位	1572009 pt
伊吹翼230位	1523027 pt
伊吹翼240位	1475282 pt
伊吹翼250位	1286476 pt
伊吹翼260位	991697 pt
伊吹翼270位	582967 pt
伊吹翼280位	348799 pt
伊吹翼290位	264286 pt
伊吹翼300位	214813 pt
田中琴葉200位	3296943 pt
田中琴葉210位	3181750 pt
田中琴葉220位	3123153 pt
田中琴葉230位	3017221 pt
田中琴葉240位	2812941 pt
田中琴葉250位	2309642 pt
田中琴葉260位	1839280 pt
田中琴葉270位	967701 pt
田中琴葉280位	739357 pt
田中琴葉290位	444722 pt
田中琴葉300位	359386 pt
島原エレナ200位	1493812 pt
島原エレナ210位	1442355 pt
島原エレナ220位	1406965 pt
島原エレナ230位	1339011 pt
島原エレナ240位	1200100 pt
島原エレナ250位	916700 pt
島原エレナ260位	708755 pt
島原エレナ270位	515629 pt
島原エレナ280位	427323 pt
島原エレナ290位	334383 pt
島原エレナ300位	263583 pt
佐竹美奈子200位	1745489 pt
佐竹美奈子210位	1642934 pt
佐竹美奈子220位	1603207 pt
佐竹美奈子230位	1501404 pt
佐竹美奈子240位	1345035 pt
佐竹美奈子250位	961176 pt
佐竹美奈子260位	643365 pt
佐竹美奈子270位	432585 pt
佐竹美奈子280位	370308 pt
佐竹美奈子290位	304888 pt
佐竹美奈子300位	253224 pt
所恵美200位	2353627 pt
所恵美210位	2309755 pt
所恵美220位	2234370 pt
所恵美230位	2198514 pt
所恵美240位	2004940 pt
所恵美250位	1801719 pt
所恵美260位	1479096 pt
所恵美270位	935253 pt
所恵美280位	645870 pt
所恵美290位	491587 pt
所恵美300位	412501 pt
徳川まつり200位	1824122 pt
徳川まつり210位	1784866 pt
徳川まつり220位	1726134 pt
徳川まつり230位	1682869 pt
徳川まつり240位	1574982 pt
徳川まつり250位	1329970 pt
徳川まつり260位	1006858 pt
徳川まつり270位	705287 pt
徳川まつり280位	464674 pt
徳川まつり290位	392610 pt
徳川まつり300位	331567 pt
箱崎星梨花200位	1969685 pt
箱崎星梨花210位	1889163 pt
箱崎星梨花220位	1832776 pt
箱崎星梨花230位	1768816 pt
箱崎星梨花240位	1637871 pt
箱崎星梨花250位	1401325 pt
箱崎星梨花260位	949669 pt
箱崎星梨花270位	612652 pt
箱崎星梨花280位	404536 pt
箱崎星梨花290位	311400 pt
箱崎星梨花300位	265338 pt
野々原茜200位	1255919 pt
野々原茜210位	1216666 pt
野々原茜220位	1184849 pt
野々原茜230位	1149160 pt
野々原茜240位	1045511 pt
野々原茜250位	746010 pt
野々原茜260位	552233 pt
野々原茜270位	416928 pt
野々原茜280位	363970 pt
野々原茜290位	278701 pt
野々原茜300位	229913 pt
望月杏奈200位	2218988 pt
望月杏奈210位	2167760 pt
望月杏奈220位	2110382 pt
望月杏奈230位	2004522 pt
望月杏奈240位	1622608 pt
望月杏奈250位	1410961 pt
望月杏奈260位	1131325 pt
望月杏奈270位	736182 pt
望月杏奈280位	503091 pt
望月杏奈290位	363357 pt
望月杏奈300位	295431 pt
ロコ200位	1617346 pt
ロコ210位	1596023 pt
ロコ220位	1556857 pt
ロコ230位	1489034 pt
ロコ240位	1367650 pt
ロコ250位	1204904 pt
ロコ260位	801136 pt
ロコ270位	576863 pt
ロコ280位	438689 pt
ロコ290位	311805 pt
ロコ300位	239214 pt
七尾百合子200位	2521268 pt
七尾百合子210位	2500000 pt
七尾百合子220位	2424242 pt
七尾百合子230位	2258086 pt
七尾百合子240位	1902243 pt
七尾百合子250位	1479175 pt
七尾百合子260位	923898 pt
七尾百合子270位	552849 pt
七尾百合子280位	388547 pt
七尾百合子290位	328394 pt
七尾百合子300位	244133 pt
高山紗代子200位	2015979 pt
高山紗代子210位	1996026 pt
高山紗代子220位	1959077 pt
高山紗代子230位	1930726 pt
高山紗代子240位	1737717 pt
高山紗代子250位	1453202 pt
高山紗代子260位	1061966 pt
高山紗代子270位	775821 pt
高山紗代子280位	510587 pt
高山紗代子290位	424384 pt
高山紗代子300位	345345 pt
松田亜利沙200位	1533190 pt
松田亜利沙210位	1512700 pt
松田亜利沙220位	1484543 pt
松田亜利沙230位	1455101 pt
松田亜利沙240位	1331707 pt
松田亜利沙250位	1167539 pt
松田亜利沙260位	805995 pt
松田亜利沙270位	551921 pt
松田亜利沙280位	435888 pt
松田亜利沙290位	313343 pt
松田亜利沙300位	264664 pt
高坂海美200位	2004879 pt
高坂海美210位	1971519 pt
高坂海美220位	1939884 pt
高坂海美230位	1896058 pt
高坂海美240位	1832134 pt
高坂海美250位	1608124 pt
高坂海美260位	1291377 pt
高坂海美270位	1043025 pt
高坂海美280位	732891 pt
高坂海美290位	418257 pt
高坂海美300位	331313 pt
中谷育200位	1300048 pt
中谷育210位	1272078 pt
中谷育220位	1251341 pt
中谷育230位	1191498 pt
中谷育240位	1104907 pt
中谷育250位	983133 pt
中谷育260位	817505 pt
中谷育270位	653199 pt
中谷育280位	523318 pt
中谷育290位	367549 pt
中谷育300位	291108 pt
天空橋朋花200位	1965227 pt
天空橋朋花210位	1905247 pt
天空橋朋花220位	1880928 pt
天空橋朋花230位	1841980 pt
天空橋朋花240位	1735816 pt
天空橋朋花250位	1446794 pt
天空橋朋花260位	1122880 pt
天空橋朋花270位	751963 pt
天空橋朋花280位	481614 pt
天空橋朋花290位	327068 pt
天空橋朋花300位	232138 pt
エミリー200位	1474025 pt
エミリー210位	1429247 pt
エミリー220位	1363393 pt
エミリー230位	1295541 pt
エミリー240位	1123808 pt
エミリー250位	990067 pt
エミリー260位	520014 pt
エミリー270位	398088 pt
エミリー280位	325817 pt
エミリー290位	235129 pt
エミリー300位	187302 pt
北沢志保200位	2067208 pt
北沢志保210位	2043422 pt
北沢志保220位	1985169 pt
北沢志保230位	1823983 pt
北沢志保240位	1519104 pt
北沢志保250位	1223496 pt
北沢志保260位	980588 pt
北沢志保270位	590241 pt
北沢志保280位	396324 pt
北沢志保290位	317169 pt
北沢志保300位	264360 pt
舞浜歩200位	1124336 pt
舞浜歩210位	1092160 pt
舞浜歩220位	1057469 pt
舞浜歩230位	1018444 pt
舞浜歩240位	886219 pt
舞浜歩250位	719517 pt
舞浜歩260位	473027 pt
舞浜歩270位	332392 pt
舞浜歩280位	247289 pt
舞浜歩290位	215315 pt
舞浜歩300位	183007 pt
木下ひなた200位	1142874 pt
木下ひなた210位	1121829 pt
木下ひなた220位	1072076 pt
木下ひなた230位	1040006 pt
木下ひなた240位	935981 pt
木下ひなた250位	843321 pt
木下ひなた260位	691692 pt
木下ひなた270位	540049 pt
木下ひなた280位	455133 pt
木下ひなた290位	353557 pt
木下ひなた300位	291944 pt
矢吹可奈200位	1635208 pt
矢吹可奈210位	1615560 pt
矢吹可奈220位	1584134 pt
矢吹可奈230位	1549468 pt
矢吹可奈240位	1462870 pt
矢吹可奈250位	1309426 pt
矢吹可奈260位	1205425 pt
矢吹可奈270位	782167 pt
矢吹可奈280位	515112 pt
矢吹可奈290位	319564 pt
矢吹可奈300位	266194 pt
横山奈緒200位	1446081 pt
横山奈緒210位	1406257 pt
横山奈緒220位	1383475 pt
横山奈緒230位	1260708 pt
横山奈緒240位	1142875 pt
横山奈緒250位	1031967 pt
横山奈緒260位	882239 pt
横山奈緒270位	571639 pt
横山奈緒280位	390536 pt
横山奈緒290位	323028 pt
横山奈緒300位	255954 pt
二階堂千鶴200位	1600291 pt
二階堂千鶴210位	1562899 pt
二階堂千鶴220位	1537975 pt
二階堂千鶴230位	1486415 pt
二階堂千鶴240位	1413670 pt
二階堂千鶴250位	1148340 pt
二階堂千鶴260位	905761 pt
二階堂千鶴270位	581445 pt
二階堂千鶴280位	433921 pt
二階堂千鶴290位	295561 pt
二階堂千鶴300位	231851 pt
馬場このみ200位	1737306 pt
馬場このみ210位	1689302 pt
馬場このみ220位	1539845 pt
馬場このみ230位	1367971 pt
馬場このみ240位	1110321 pt
馬場このみ250位	867397 pt
馬場このみ260位	635371 pt
馬場このみ270位	493166 pt
馬場このみ280位	392377 pt
馬場このみ290位	317170 pt
馬場このみ300位	290621 pt
大神環200位	1290834 pt
大神環210位	1274737 pt
大神環220位	1244526 pt
大神環230位	1179456 pt
大神環240位	1097230 pt
大神環250位	988755 pt
大神環260位	795271 pt
大神環270位	561553 pt
大神環280位	394163 pt
大神環290位	329289 pt
大神環300位	256737 pt
豊川風花200位	1243746 pt
豊川風花210位	1232766 pt
豊川風花220位	1218021 pt
豊川風花230位	1172400 pt
豊川風花240位	1099159 pt
豊川風花250位	921091 pt
豊川風花260位	680216 pt
豊川風花270位	513416 pt
豊川風花280位	436086 pt
豊川風花290位	357751 pt
豊川風花300位	310779 pt
宮尾美也200位	1704598 pt
宮尾美也210位	1648660 pt
宮尾美也220位	1578159 pt
宮尾美也230位	1524046 pt
宮尾美也240位	1435051 pt
宮尾美也250位	1267108 pt
宮尾美也260位	1174289 pt
宮尾美也270位	863472 pt
宮尾美也280位	530466 pt
宮尾美也290位	335020 pt
宮尾美也300位	283406 pt
福田のり子200位	1125681 pt
福田のり子210位	1083240 pt
福田のり子220位	1066537 pt
福田のり子230位	1048852 pt
福田のり子240位	1025125 pt
福田のり子250位	968148 pt
福田のり子260位	878801 pt
福田のり子270位	756852 pt
福田のり子280位	596657 pt
福田のり子290位	459098 pt
福田のり子300位	377106 pt
真壁瑞希200位	1654829 pt
真壁瑞希210位	1603847 pt
真壁瑞希220位	1563144 pt
真壁瑞希230位	1538650 pt
真壁瑞希240位	1417801 pt
真壁瑞希250位	1150742 pt
真壁瑞希260位	851566 pt
真壁瑞希270位	652556 pt
真壁瑞希280位	524929 pt
真壁瑞希290位	447705 pt
真壁瑞希300位	353821 pt
篠宮可憐200位	1627842 pt
篠宮可憐210位	1603093 pt
篠宮可憐220位	1564209 pt
篠宮可憐230位	1524553 pt
篠宮可憐240位	1476678 pt
篠宮可憐250位	1275739 pt
篠宮可憐260位	997587 pt
篠宮可憐270位	703802 pt
篠宮可憐280位	453824 pt
篠宮可憐290位	336140 pt
篠宮可憐300位	263457 pt
百瀬莉緒200位	1559583 pt
百瀬莉緒210位	1521531 pt
百瀬莉緒220位	1487165 pt
百瀬莉緒230位	1455395 pt
百瀬莉緒240位	1252694 pt
百瀬莉緒250位	936675 pt
百瀬莉緒260位	735242 pt
百瀬莉緒270位	632699 pt
百瀬莉緒280位	419165 pt
百瀬莉緒290位	296399 pt
百瀬莉緒300位	234529 pt
永吉昴200位	1379797 pt
永吉昴210位	1350581 pt
永吉昴220位	1298298 pt
永吉昴230位	1214003 pt
永吉昴240位	1049854 pt
永吉昴250位	736131 pt
永吉昴260位	492789 pt
永吉昴270位	413541 pt
永吉昴280位	300427 pt
永吉昴290位	242141 pt
永吉昴300位	179994 pt
北上麗花200位	1609310 pt
北上麗花210位	1586349 pt
北上麗花220位	1543308 pt
北上麗花230位	1501786 pt
北上麗花240位	1407877 pt
北上麗花250位	1157613 pt
北上麗花260位	904167 pt
北上麗花270位	531642 pt
北上麗花280位	449849 pt
北上麗花290位	298631 pt
北上麗花300位	268484 pt
周防桃子200位	2213572 pt
周防桃子210位	2146958 pt
周防桃子220位	2077463 pt
周防桃子230位	1822113 pt
周防桃子240位	1425755 pt
周防桃子250位	1094886 pt
周防桃子260位	798793 pt
周防桃子270位	607233 pt
周防桃子280位	478215 pt
周防桃子290位	351168 pt
周防桃子300位	260228 pt
ジュリア200位	1753726 pt
ジュリア210位	1720956 pt
ジュリア220位	1643922 pt
ジュリア230位	1564175 pt
ジュリア240位	1222957 pt
ジュリア250位	1041550 pt
ジュリア260位	785896 pt
ジュリア270位	628694 pt
ジュリア280位	470628 pt
ジュリア290位	352879 pt
ジュリア300位	302859 pt
※03/26 14:01 集計時点のポイントですBY SKDN
