春日未来200位	1899293 pt
春日未来210位	1837683 pt
春日未来220位	1816974 pt
春日未来230位	1752284 pt
春日未来240位	1550806 pt
春日未来250位	1350016 pt
春日未来260位	1143650 pt
春日未来270位	690218 pt
春日未来280位	477246 pt
春日未来290位	376919 pt
春日未来300位	306379 pt
最上静香200位	2317513 pt
最上静香210位	2276719 pt
最上静香220位	2195805 pt
最上静香230位	2088171 pt
最上静香240位	1737397 pt
最上静香250位	1494062 pt
最上静香260位	1192111 pt
最上静香270位	880775 pt
最上静香280位	606996 pt
最上静香290位	467090 pt
最上静香300位	329920 pt
伊吹翼200位	1613579 pt
伊吹翼210位	1566008 pt
伊吹翼220位	1528170 pt
伊吹翼230位	1500157 pt
伊吹翼240位	1337004 pt
伊吹翼250位	1178252 pt
伊吹翼260位	796304 pt
伊吹翼270位	454825 pt
伊吹翼280位	322314 pt
伊吹翼290位	244817 pt
伊吹翼300位	187793 pt
田中琴葉200位	3203789 pt
田中琴葉210位	3128222 pt
田中琴葉220位	3076756 pt
田中琴葉230位	2903254 pt
田中琴葉240位	2600693 pt
田中琴葉250位	2086266 pt
田中琴葉260位	1262900 pt
田中琴葉270位	868062 pt
田中琴葉280位	575929 pt
田中琴葉290位	411764 pt
田中琴葉300位	340192 pt
島原エレナ200位	1421283 pt
島原エレナ210位	1395454 pt
島原エレナ220位	1321884 pt
島原エレナ230位	1235739 pt
島原エレナ240位	965189 pt
島原エレナ250位	754456 pt
島原エレナ260位	533157 pt
島原エレナ270位	439712 pt
島原エレナ280位	352806 pt
島原エレナ290位	279518 pt
島原エレナ300位	221170 pt
佐竹美奈子200位	1704376 pt
佐竹美奈子210位	1602326 pt
佐竹美奈子220位	1531989 pt
佐竹美奈子230位	1335496 pt
佐竹美奈子240位	1114721 pt
佐竹美奈子250位	754210 pt
佐竹美奈子260位	530708 pt
佐竹美奈子270位	395548 pt
佐竹美奈子280位	326893 pt
佐竹美奈子290位	256407 pt
佐竹美奈子300位	203444 pt
所恵美200位	2294339 pt
所恵美210位	2226687 pt
所恵美220位	2180103 pt
所恵美230位	2070621 pt
所恵美240位	1874541 pt
所恵美250位	1604116 pt
所恵美260位	1378350 pt
所恵美270位	813981 pt
所恵美280位	570388 pt
所恵美290位	459069 pt
所恵美300位	389777 pt
徳川まつり200位	1777332 pt
徳川まつり210位	1713056 pt
徳川まつり220位	1661055 pt
徳川まつり230位	1517162 pt
徳川まつり240位	1335466 pt
徳川まつり250位	1032791 pt
徳川まつり260位	737858 pt
徳川まつり270位	479699 pt
徳川まつり280位	414421 pt
徳川まつり290位	347425 pt
徳川まつり300位	279773 pt
箱崎星梨花200位	1900023 pt
箱崎星梨花210位	1832379 pt
箱崎星梨花220位	1773415 pt
箱崎星梨花230位	1695345 pt
箱崎星梨花240位	1533044 pt
箱崎星梨花250位	1172059 pt
箱崎星梨花260位	815378 pt
箱崎星梨花270位	472989 pt
箱崎星梨花280位	332340 pt
箱崎星梨花290位	277874 pt
箱崎星梨花300位	230747 pt
野々原茜200位	1231727 pt
野々原茜210位	1184457 pt
野々原茜220位	1134229 pt
