春日未来200位	1810434 pt
春日未来210位	1763694 pt
春日未来220位	1619851 pt
春日未来230位	1475678 pt
春日未来240位	1294395 pt
春日未来250位	1127404 pt
春日未来260位	778793 pt
春日未来270位	543590 pt
春日未来280位	423230 pt
春日未来290位	319901 pt
春日未来300位	224105 pt
最上静香200位	2200270 pt
最上静香210位	2112849 pt
最上静香220位	2073138 pt
最上静香230位	1888505 pt
最上静香240位	1507059 pt
最上静香250位	1240158 pt
最上静香260位	1009402 pt
最上静香270位	748243 pt
最上静香280位	520852 pt
最上静香290位	417589 pt
最上静香300位	321320 pt
伊吹翼200位	1514475 pt
伊吹翼210位	1500157 pt
伊吹翼220位	1394099 pt
伊吹翼230位	1211364 pt
伊吹翼240位	1100257 pt
伊吹翼250位	858857 pt
伊吹翼260位	615060 pt
伊吹翼270位	342026 pt
伊吹翼280位	252077 pt
伊吹翼290位	199168 pt
伊吹翼300位	173370 pt
田中琴葉200位	3115272 pt
田中琴葉210位	2995920 pt
田中琴葉220位	2803742 pt
田中琴葉230位	2609337 pt
田中琴葉240位	2088354 pt
田中琴葉250位	1717551 pt
田中琴葉260位	911983 pt
田中琴葉270位	714267 pt
田中琴葉280位	536995 pt
田中琴葉290位	364287 pt
田中琴葉300位	304271 pt
島原エレナ200位	1321906 pt
島原エレナ210位	1267895 pt
島原エレナ220位	1107130 pt
島原エレナ230位	927670 pt
島原エレナ240位	662153 pt
島原エレナ250位	507386 pt
島原エレナ260位	421304 pt
島原エレナ270位	339365 pt
島原エレナ280位	297690 pt
島原エレナ290位	228183 pt
島原エレナ300位	177579 pt
佐竹美奈子200位	1619564 pt
佐竹美奈子210位	1511821 pt
佐竹美奈子220位	1395331 pt
佐竹美奈子230位	1078335 pt
佐竹美奈子240位	644038 pt
佐竹美奈子250位	498032 pt
佐竹美奈子260位	391767 pt
佐竹美奈子270位	294951 pt
佐竹美奈子280位	257521 pt
佐竹美奈子290位	203444 pt
佐竹美奈子300位	174043 pt
所恵美200位	2197510 pt
所恵美210位	2162392 pt
所恵美220位	2060078 pt
所恵美230位	1948218 pt
所恵美240位	1701332 pt
所恵美250位	1417421 pt
所恵美260位	1213132 pt
所恵美270位	737997 pt
所恵美280位	543307 pt
所恵美290位	451192 pt
所恵美300位	358844 pt
徳川まつり200位	1702169 pt
徳川まつり210位	1601748 pt
徳川まつり220位	1503714 pt
徳川まつり230位	1301189 pt
徳川まつり240位	1032950 pt
徳川まつり250位	763569 pt
徳川まつり260位	485665 pt
徳川まつり270位	410982 pt
徳川まつり280位	361646 pt
徳川まつり290位	293669 pt
徳川まつり300位	233306 pt
箱崎星梨花200位	1804598 pt
箱崎星梨花210位	1740494 pt
箱崎星梨花220位	1636206 pt
箱崎星梨花230位	1503379 pt
箱崎星梨花240位	1084504 pt
箱崎星梨花250位	872414 pt
箱崎星梨花260位	573116 pt
箱崎星梨花270位	388909 pt
箱崎星梨花280位	287170 pt
箱崎星梨花290位	235404 pt
箱崎星梨花300位	208888 pt
野々原茜200位	1141224 pt
野々原茜210位	1109764 pt
野々原茜220位	1018580 pt
野々原茜230位	794401 pt
野々原茜240位	643139 pt
野々原茜250位	512154 pt
野々原茜260位	359383 pt
野々原茜270位	291828 pt
野々原茜280位	267442 pt
野々原茜290位	221918 pt
野々原茜300位	168678 pt
望月杏奈200位	2151987 pt
望月杏奈210位	2003521 pt
望月杏奈220位	1890599 pt
望月杏奈230位	1416294 pt
望月杏奈240位	1129241 pt
望月杏奈250位	920187 pt
望月杏奈260位	732185 pt
望月杏奈270位	454106 pt
望月杏奈280位	352183 pt
望月杏奈290位	273022 pt
望月杏奈300位	233926 pt
ロコ200位	1562980 pt
ロコ210位	1519424 pt
ロコ220位	1406342 pt
ロコ230位	1159027 pt
ロコ240位	935803 pt
ロコ250位	618347 pt
ロコ260位	464921 pt
ロコ270位	368704 pt
ロコ280位	277525 pt
ロコ290位	226991 pt
ロコ300位	183870 pt
七尾百合子200位	2424242 pt
七尾百合子210位	2334266 pt
七尾百合子220位	2161552 pt
七尾百合子230位	1811495 pt
七尾百合子240位	1530957 pt
七尾百合子250位	1142163 pt
七尾百合子260位	736273 pt
七尾百合子270位	462299 pt
七尾百合子280位	330116 pt
七尾百合子290位	252697 pt
七尾百合子300位	222696 pt
高山紗代子200位	1875049 pt
高山紗代子210位	1826560 pt
高山紗代子220位	1676378 pt
高山紗代子230位	1490768 pt
高山紗代子240位	1272351 pt
高山紗代子250位	1072196 pt
高山紗代子260位	789415 pt
高山紗代子270位	590647 pt
高山紗代子280位	427000 pt
高山紗代子290位	390518 pt
高山紗代子300位	280710 pt
松田亜利沙200位	1377376 pt
松田亜利沙210位	1344765 pt
松田亜利沙220位	1292693 pt
松田亜利沙230位	1170272 pt
松田亜利沙240位	1024461 pt
松田亜利沙250位	721853 pt
松田亜利沙260位	572669 pt
松田亜利沙270位	368932 pt
松田亜利沙280位	293873 pt
松田亜利沙290位	209684 pt
松田亜利沙300位	194044 pt
高坂海美200位	1803926 pt
高坂海美210位	1759670 pt
高坂海美220位	1698931 pt
高坂海美230位	1564394 pt
高坂海美240位	1466830 pt
高坂海美250位	1215158 pt
高坂海美260位	963277 pt
高坂海美270位	792878 pt
高坂海美280位	548815 pt
高坂海美290位	346079 pt
高坂海美300位	307468 pt
中谷育200位	1092934 pt
中谷育210位	1045475 pt
中谷育220位	1004227 pt
中谷育230位	964959 pt
中谷育240位	829774 pt
中谷育250位	682066 pt
中谷育260位	503376 pt
中谷育270位	395964 pt
中谷育280位	317044 pt
中谷育290位	271117 pt
中谷育300位	217631 pt
天空橋朋花200位	1760671 pt
天空橋朋花210位	1713040 pt
天空橋朋花220位	1651043 pt
天空橋朋花230位	1458252 pt
天空橋朋花240位	1217681 pt
天空橋朋花250位	1051098 pt
天空橋朋花260位	758344 pt
天空橋朋花270位	450390 pt
天空橋朋花280位	327200 pt
天空橋朋花290位	236526 pt
天空橋朋花300位	200330 pt
エミリー200位	1310522 pt
エミリー210位	1217175 pt
エミリー220位	1126174 pt
エミリー230位	966793 pt
エミリー240位	653051 pt
エミリー250位	474724 pt
エミリー260位	367606 pt
エミリー270位	304768 pt
エミリー280位	212388 pt
エミリー290位	186082 pt
エミリー300位	150693 pt
北沢志保200位	2001274 pt
北沢志保210位	1910465 pt
北沢志保220位	1606138 pt
北沢志保230位	1308042 pt
北沢志保240位	1004351 pt
北沢志保250位	798022 pt
北沢志保260位	569511 pt
北沢志保270位	366574 pt
北沢志保280位	303110 pt
北沢志保290位	251151 pt
北沢志保300位	203610 pt
舞浜歩200位	1000624 pt
舞浜歩210位	955775 pt
舞浜歩220位	893380 pt
舞浜歩230位	799432 pt
舞浜歩240位	619545 pt
舞浜歩250位	416679 pt
舞浜歩260位	295166 pt
舞浜歩270位	228800 pt
舞浜歩280位	201597 pt
舞浜歩290位	169153 pt
舞浜歩300位	150534 pt
木下ひなた200位	981082 pt
木下ひなた210位	852176 pt
木下ひなた220位	756863 pt
木下ひなた230位	648703 pt
木下ひなた240位	524554 pt
木下ひなた250位	447738 pt
木下ひなた260位	393218 pt
木下ひなた270位	330401 pt
木下ひなた280位	276735 pt
木下ひなた290位	223671 pt
木下ひなた300位	195475 pt
矢吹可奈200位	1470750 pt
矢吹可奈210位	1436965 pt
矢吹可奈220位	1381258 pt
矢吹可奈230位	1266655 pt
矢吹可奈240位	1129452 pt
矢吹可奈250位	849905 pt
矢吹可奈260位	662249 pt
矢吹可奈270位	445357 pt
矢吹可奈280位	342304 pt
矢吹可奈290位	255056 pt
矢吹可奈300位	224758 pt
横山奈緒200位	1299787 pt
横山奈緒210位	1201399 pt
横山奈緒220位	1098736 pt
横山奈緒230位	1028404 pt
横山奈緒240位	813994 pt
横山奈緒250位	646926 pt
横山奈緒260位	454104 pt
横山奈緒270位	350965 pt
横山奈緒280位	291194 pt
横山奈緒290位	212021 pt
横山奈緒300位	184845 pt
二階堂千鶴200位	1425884 pt
二階堂千鶴210位	1383399 pt
二階堂千鶴220位	1234597 pt
二階堂千鶴230位	1119364 pt
二階堂千鶴240位	977427 pt
二階堂千鶴250位	835060 pt
二階堂千鶴260位	632797 pt
二階堂千鶴270位	437618 pt
二階堂千鶴280位	313151 pt
二階堂千鶴290位	233965 pt
二階堂千鶴300位	198452 pt
馬場このみ200位	1670647 pt
馬場このみ210位	1539845 pt
馬場このみ220位	1320334 pt
馬場このみ230位	1001356 pt
馬場このみ240位	771112 pt
馬場このみ250位	593771 pt
馬場このみ260位	380974 pt
馬場このみ270位	296623 pt
馬場このみ280位	246235 pt
馬場このみ290位	208861 pt
馬場このみ300位	191466 pt
大神環200位	1108841 pt
大神環210位	1070803 pt
大神環220位	1025245 pt
大神環230位	934661 pt
大神環240位	805464 pt
大神環250位	551286 pt
大神環260位	376168 pt
大神環270位	301830 pt
大神環280位	252624 pt
大神環290位	195191 pt
大神環300位	171827 pt
豊川風花200位	1128772 pt
豊川風花210位	1093098 pt
豊川風花220位	1030599 pt
豊川風花230位	954601 pt
豊川風花240位	818794 pt
豊川風花250位	583863 pt
豊川風花260位	449652 pt
豊川風花270位	360983 pt
豊川風花280位	294763 pt
豊川風花290位	243113 pt
豊川風花300位	228283 pt
宮尾美也200位	1433344 pt
宮尾美也210位	1337100 pt
宮尾美也220位	1234236 pt
宮尾美也230位	1061613 pt
宮尾美也240位	865609 pt
宮尾美也250位	680367 pt
宮尾美也260位	520715 pt
宮尾美也270位	412573 pt
宮尾美也280位	296626 pt
宮尾美也290位	243738 pt
宮尾美也300位	178933 pt
福田のり子200位	916489 pt
福田のり子210位	870805 pt
福田のり子220位	837772 pt
福田のり子230位	795350 pt
福田のり子240位	700903 pt
福田のり子250位	621404 pt
福田のり子260位	506672 pt
福田のり子270位	429861 pt
福田のり子280位	366809 pt
福田のり子290位	291404 pt
福田のり子300位	243131 pt
真壁瑞希200位	1521802 pt
真壁瑞希210位	1460447 pt
真壁瑞希220位	1291781 pt
真壁瑞希230位	1232339 pt
真壁瑞希240位	981342 pt
真壁瑞希250位	808741 pt
真壁瑞希260位	604671 pt
真壁瑞希270位	465706 pt
真壁瑞希280位	393670 pt
真壁瑞希290位	336256 pt
真壁瑞希300位	272528 pt
篠宮可憐200位	1416368 pt
篠宮可憐210位	1370543 pt
篠宮可憐220位	1315557 pt
篠宮可憐230位	1208153 pt
篠宮可憐240位	1019975 pt
篠宮可憐250位	895175 pt
篠宮可憐260位	653406 pt
篠宮可憐270位	500502 pt
篠宮可憐280位	343435 pt
篠宮可憐290位	275098 pt
篠宮可憐300位	237075 pt
百瀬莉緒200位	1407190 pt
百瀬莉緒210位	1358981 pt
百瀬莉緒220位	1262369 pt
百瀬莉緒230位	1020291 pt
百瀬莉緒240位	733121 pt
百瀬莉緒250位	588984 pt
百瀬莉緒260位	449367 pt
百瀬莉緒270位	375573 pt
百瀬莉緒280位	269139 pt
百瀬莉緒290位	206242 pt
百瀬莉緒300位	178286 pt
永吉昴200位	1259183 pt
永吉昴210位	1174893 pt
永吉昴220位	1086700 pt
永吉昴230位	946221 pt
永吉昴240位	694256 pt
永吉昴250位	486751 pt
永吉昴260位	374487 pt
永吉昴270位	272389 pt
永吉昴280位	194905 pt
永吉昴290位	165048 pt
永吉昴300位	131247 pt
北上麗花200位	1462492 pt
北上麗花210位	1416351 pt
北上麗花220位	1349232 pt
北上麗花230位	1157835 pt
北上麗花240位	854271 pt
北上麗花250位	675579 pt
北上麗花260位	466931 pt
北上麗花270位	354465 pt
北上麗花280位	278278 pt
北上麗花290位	249267 pt
北上麗花300位	203883 pt
周防桃子200位	2097851 pt
周防桃子210位	2041240 pt
周防桃子220位	1791270 pt
周防桃子230位	1340663 pt
周防桃子240位	935990 pt
周防桃子250位	579005 pt
周防桃子260位	492436 pt
周防桃子270位	355035 pt
周防桃子280位	258491 pt
周防桃子290位	208781 pt
周防桃子300位	168625 pt
ジュリア200位	1719750 pt
ジュリア210位	1636360 pt
ジュリア220位	1445024 pt
ジュリア230位	1145981 pt
ジュリア240位	976041 pt
ジュリア250位	766759 pt
ジュリア260位	563146 pt
ジュリア270位	480834 pt
ジュリア280位	353414 pt
ジュリア290位	303409 pt
ジュリア300位	251579 pt
※03/26 00:00 集計時点のポイントですBY SKDN
