春日未来1位	1452947 pt
春日未来2位	986900 pt
春日未来3位	942667 pt
春日未来4位	836830 pt
春日未来5位	728455 pt
春日未来6位	612390 pt
春日未来7位	597053 pt
春日未来8位	545358 pt
春日未来9位	508720 pt
春日未来10位	501686 pt
春日未来11位	492213 pt
春日未来12位	476077 pt
春日未来13位	467527 pt
春日未来14位	420249 pt
春日未来15位	408077 pt
春日未来16位	384942 pt
春日未来17位	377062 pt
春日未来18位	332301 pt
春日未来19位	326348 pt
春日未来20位	313629 pt
春日未来21位	268598 pt
春日未来22位	256713 pt
春日未来23位	245628 pt
春日未来24位	244987 pt
春日未来25位	241619 pt
春日未来26位	237324 pt
春日未来27位	228143 pt
春日未来28位	227625 pt
春日未来29位	216616 pt
春日未来30位	206731 pt
最上静香1位	2510044 pt
最上静香2位	1990229 pt
最上静香3位	1328764 pt
最上静香4位	844344 pt
最上静香5位	562917 pt
最上静香6位	467175 pt
最上静香7位	445388 pt
最上静香8位	423540 pt
最上静香9位	411231 pt
最上静香10位	330161 pt
最上静香11位	325112 pt
最上静香12位	312064 pt
最上静香13位	305367 pt
最上静香14位	294837 pt
最上静香15位	276621 pt
最上静香16位	269326 pt
最上静香17位	260709 pt
最上静香18位	241018 pt
最上静香19位	232753 pt
最上静香20位	228908 pt
最上静香21位	224195 pt
最上静香22位	219823 pt
最上静香23位	187969 pt
最上静香24位	187686 pt
最上静香25位	175214 pt
最上静香26位	168765 pt
最上静香27位	166453 pt
最上静香28位	165047 pt
最上静香29位	154082 pt
最上静香30位	147812 pt
伊吹翼1位	1233698 pt
伊吹翼2位	752844 pt
伊吹翼3位	565598 pt
伊吹翼4位	565047 pt
伊吹翼5位	543567 pt
伊吹翼6位	539081 pt
伊吹翼7位	538457 pt
伊吹翼8位	533437 pt
伊吹翼9位	505565 pt
伊吹翼10位	450246 pt
伊吹翼11位	449128 pt
伊吹翼12位	417850 pt
伊吹翼13位	391949 pt
伊吹翼14位	304513 pt
伊吹翼15位	302517 pt
伊吹翼16位	301219 pt
伊吹翼17位	293374 pt
伊吹翼18位	272885 pt
伊吹翼19位	271944 pt
伊吹翼20位	271524 pt
伊吹翼21位	259315 pt
伊吹翼22位	251542 pt
伊吹翼23位	242036 pt
伊吹翼24位	232012 pt
伊吹翼25位	227331 pt
伊吹翼26位	218462 pt
伊吹翼27位	213145 pt
伊吹翼28位	207674 pt
伊吹翼29位	180825 pt
伊吹翼30位	179087 pt
田中琴葉1位	4529365 pt
田中琴葉2位	1996234 pt
田中琴葉3位	1300218 pt
田中琴葉4位	1158926 pt
田中琴葉5位	1106803 pt
