チーム春日未来51位	22341 pt
チーム春日未来52位	22228 pt
チーム春日未来53位	21622 pt
チーム春日未来54位	21025 pt
チーム春日未来55位	18974 pt
チーム春日未来56位	18811 pt
チーム春日未来57位	18517 pt
チーム春日未来58位	18055 pt
チーム春日未来59位	18015 pt
チーム春日未来60位	17582 pt
チーム春日未来71位	14440 pt
チーム春日未来72位	14312 pt
チーム春日未来73位	14282 pt
チーム春日未来74位	13867 pt
チーム春日未来75位	13800 pt
チーム春日未来76位	12634 pt
チーム春日未来77位	12416 pt
チーム春日未来78位	12329 pt
チーム春日未来79位	12265 pt
チーム春日未来80位	12008 pt
チーム春日未来91位	8939 pt
チーム春日未来92位	8297 pt
チーム春日未来93位	8183 pt
チーム春日未来94位	8155 pt
チーム春日未来95位	7760 pt
チーム春日未来96位	7447 pt
チーム春日未来97位	7441 pt
チーム春日未来98位	7403 pt
チーム春日未来99位	7044 pt
チーム春日未来100位	6992 pt
チーム春日未来111位	6330 pt
チーム春日未来112位	6255 pt
チーム春日未来113位	6165 pt
チーム春日未来114位	6047 pt
チーム春日未来115位	5803 pt
チーム春日未来116位	5587 pt
チーム春日未来117位	5482 pt
チーム春日未来118位	5418 pt
チーム春日未来119位	5408 pt
チーム春日未来120位	5371 pt
チーム春日未来131位	4712 pt
チーム春日未来132位	4546 pt
チーム春日未来133位	4493 pt
チーム春日未来134位	4441 pt
チーム春日未来135位	4375 pt
チーム春日未来136位	4229 pt
チーム春日未来137位	4100 pt
チーム春日未来138位	4080 pt
チーム春日未来139位	3953 pt
チーム春日未来140位	3910 pt
チーム春日未来151位	3294 pt
チーム春日未来152位	3250 pt
チーム春日未来153位	3232 pt
チーム春日未来154位	3184 pt
チーム春日未来155位	3047 pt
チーム春日未来156位	3031 pt
チーム春日未来157位	2930 pt
チーム春日未来158位	2903 pt
チーム春日未来159位	2851 pt
チーム春日未来160位	2784 pt
チーム春日未来171位	2576 pt
チーム春日未来172位	2565 pt
チーム春日未来173位	2464 pt
チーム春日未来174位	2415 pt
チーム春日未来175位	2405 pt
チーム春日未来176位	2400 pt
チーム春日未来177位	2356 pt
チーム春日未来178位	2340 pt
チーム春日未来179位	2312 pt
チーム春日未来180位	2258 pt
チーム春日未来191位	1988 pt
チーム春日未来192位	1967 pt
チーム春日未来193位	1897 pt
チーム春日未来194位	1887 pt
チーム春日未来195位	1848 pt
チーム春日未来196位	1843 pt
チーム春日未来197位	1836 pt
チーム春日未来198位	1823 pt
チーム春日未来199位	1803 pt
チーム春日未来200位	1798 pt
チーム春日未来211位	1610 pt
チーム春日未来212位	1572 pt
チーム春日未来213位	1569 pt
チーム春日未来214位	1552 pt
チーム春日未来215位	1544 pt
チーム春日未来216位	1538 pt
チーム春日未来217位	1535 pt
チーム春日未来218位	1502 pt
チーム春日未来219位	1497 pt
チーム春日未来220位	1491 pt
チーム春日未来231位	1349 pt
チーム春日未来232位	1310 pt
チーム春日未来233位	1274 pt
チーム春日未来234位	1263 pt
チーム春日未来235位	1256 pt
チーム春日未来236位	1254 pt
チーム春日未来237位	1225 pt
チーム春日未来238位	1215 pt
チーム春日未来239位	1205 pt
チーム春日未来240位	1198 pt
チーム春日未来251位	1119 pt
チーム春日未来252位	1113 pt
チーム春日未来253位	1109 pt
チーム春日未来254位	1108 pt
チーム春日未来255位	1105 pt
チーム春日未来256位	1100 pt
チーム春日未来257位	1073 pt
チーム春日未来258位	1071 pt
チーム春日未来259位	1071 pt
チーム春日未来260位	1010 pt
チーム春日未来271位	895 pt
チーム春日未来272位	859 pt
チーム春日未来273位	845 pt
チーム春日未来274位	831 pt
チーム春日未来275位	829 pt
チーム春日未来276位	822 pt
チーム春日未来277位	821 pt
チーム春日未来278位	818 pt
チーム春日未来279位	807 pt
チーム春日未来280位	804 pt
チーム春日未来291位	713 pt
チーム春日未来292位	711 pt
チーム春日未来293位	707 pt
チーム春日未来294位	684 pt
チーム春日未来295位	684 pt
チーム春日未来296位	676 pt
チーム春日未来297位	672 pt
チーム春日未来298位	671 pt
チーム春日未来299位	660 pt
チーム春日未来300位	652 pt
チーム最上静香51位	26687 pt
チーム最上静香52位	25314 pt
チーム最上静香53位	24914 pt
チーム最上静香54位	24419 pt
チーム最上静香55位	24071 pt
チーム最上静香56位	23980 pt
チーム最上静香57位	23654 pt
チーム最上静香58位	23611 pt
チーム最上静香59位	21985 pt
チーム最上静香60位	21040 pt
チーム最上静香71位	16737 pt
チーム最上静香72位	16151 pt
チーム最上静香73位	16146 pt
チーム最上静香74位	16144 pt
チーム最上静香75位	15972 pt
チーム最上静香76位	15844 pt
チーム最上静香77位	14982 pt
チーム最上静香78位	14735 pt
チーム最上静香79位	14529 pt
チーム最上静香80位	14244 pt
チーム最上静香91位	11454 pt
チーム最上静香92位	11375 pt
チーム最上静香93位	11174 pt
チーム最上静香94位	11142 pt
チーム最上静香95位	10982 pt
チーム最上静香96位	10754 pt
チーム最上静香97位	10707 pt
チーム最上静香98位	10640 pt
チーム最上静香99位	10614 pt
チーム最上静香100位	10396 pt
チーム最上静香111位	8588 pt
チーム最上静香112位	8392 pt
チーム最上静香113位	8302 pt
チーム最上静香114位	8103 pt
チーム最上静香115位	8084 pt
チーム最上静香116位	8053 pt
チーム最上静香117位	7445 pt
チーム最上静香118位	7321 pt
チーム最上静香119位	7301 pt
チーム最上静香120位	7234 pt
チーム最上静香131位	5738 pt
チーム最上静香132位	5603 pt
チーム最上静香133位	5600 pt
チーム最上静香134位	5428 pt
チーム最上静香135位	5264 pt
チーム最上静香136位	5221 pt
チーム最上静香137位	5183 pt
チーム最上静香138位	5127 pt
チーム最上静香139位	4886 pt
チーム最上静香140位	4872 pt
チーム最上静香151位	4164 pt
チーム最上静香152位	3970 pt
チーム最上静香153位	3951 pt
チーム最上静香154位	3894 pt
チーム最上静香155位	3731 pt
チーム最上静香156位	3725 pt
チーム最上静香157位	3658 pt
チーム最上静香158位	3611 pt
チーム最上静香159位	3604 pt
チーム最上静香160位	3578 pt
チーム最上静香171位	3156 pt
チーム最上静香172位	2988 pt
チーム最上静香173位	2883 pt
