春日未来60位	2528681 pt
春日未来80位	2500523 pt
春日未来100位	2420361 pt
春日未来120位	2384984 pt
春日未来140位	2300000 pt
春日未来160位	2247807 pt
春日未来180位	2222286 pt
春日未来200位	2187296 pt
春日未来220位	2145523 pt
春日未来240位	2103628 pt
春日未来260位	2005025 pt
春日未来280位	691409 pt
春日未来300位	388216 pt
最上静香60位	3014536 pt
最上静香80位	3000000 pt
最上静香100位	2875050 pt
最上静香120位	2779745 pt
最上静香140位	2668691 pt
最上静香160位	2604315 pt
最上静香180位	2532000 pt
最上静香200位	2501531 pt
最上静香220位	2443567 pt
最上静香240位	2360650 pt
最上静香260位	1800271 pt
最上静香280位	932950 pt
最上静香300位	426964 pt
伊吹翼60位	2364504 pt
伊吹翼80位	2191171 pt
伊吹翼100位	2113334 pt
伊吹翼120位	2074486 pt
伊吹翼140位	2018702 pt
伊吹翼160位	2002081 pt
伊吹翼180位	1973280 pt
伊吹翼200位	1929061 pt
伊吹翼220位	1863906 pt
伊吹翼240位	1816217 pt
伊吹翼260位	1726907 pt
伊吹翼280位	689383 pt
伊吹翼300位	291491 pt
田中琴葉60位	5108000 pt
田中琴葉80位	4502384 pt
田中琴葉100位	4269169 pt
田中琴葉120位	4022299 pt
田中琴葉140位	3770859 pt
田中琴葉160位	3658114 pt
田中琴葉180位	3530877 pt
田中琴葉200位	3408240 pt
田中琴葉220位	3262450 pt
田中琴葉240位	3183695 pt
田中琴葉260位	2248508 pt
田中琴葉280位	876924 pt
田中琴葉300位	402711 pt
島原エレナ60位	2162612 pt
島原エレナ80位	2085431 pt
島原エレナ100位	2035449 pt
島原エレナ120位	2005864 pt
島原エレナ140位	1990394 pt
島原エレナ160位	1901494 pt
島原エレナ180位	1839235 pt
島原エレナ200位	1807390 pt
島原エレナ220位	1777318 pt
島原エレナ240位	1727026 pt
島原エレナ260位	1643603 pt
島原エレナ280位	719988 pt
島原エレナ300位	351412 pt
佐竹美奈子60位	2606102 pt
佐竹美奈子80位	2307755 pt
佐竹美奈子100位	2202558 pt
佐竹美奈子120位	2088375 pt
佐竹美奈子140位	2038013 pt
佐竹美奈子160位	2005558 pt
佐竹美奈子180位	1954963 pt
佐竹美奈子200位	1886318 pt
佐竹美奈子220位	1810135 pt
佐竹美奈子240位	1725396 pt
佐竹美奈子260位	1602335 pt
佐竹美奈子280位	809348 pt
佐竹美奈子300位	405605 pt
所恵美60位	3141832 pt
所恵美80位	3021342 pt
所恵美100位	2938075 pt
所恵美120位	2803570 pt
所恵美140位	2739867 pt
所恵美160位	2655211 pt
所恵美180位	2553830 pt
所恵美200位	2501060 pt
所恵美220位	2457016 pt
所恵美240位	2374303 pt
所恵美260位	2048735 pt
所恵美280位	784358 pt
所恵美300位	457040 pt
徳川まつり60位	2500000 pt
徳川まつり80位	2365794 pt
徳川まつり100位	2302532 pt
徳川まつり120位	2215824 pt
徳川まつり140位	2154270 pt
徳川まつり160位	2100561 pt
徳川まつり180位	2032643 pt
徳川まつり200位	2006264 pt
徳川まつり220位	1963902 pt
徳川まつり240位	1907913 pt
徳川まつり260位	1740355 pt
徳川まつり280位	712106 pt
徳川まつり300位	386016 pt
箱崎星梨花60位	2630885 pt
箱崎星梨花80位	2522291 pt
箱崎星梨花100位	2452733 pt
箱崎星梨花120位	2349176 pt
箱崎星梨花140位	2251502 pt
箱崎星梨花160位	2193067 pt
箱崎星梨花180位	2118552 pt
箱崎星梨花200位	2056453 pt
箱崎星梨花220位	2007203 pt
箱崎星梨花240位	1919605 pt
箱崎星梨花260位	1715247 pt
箱崎星梨花280位	721841 pt
箱崎星梨花300位	315105 pt
野々原茜60位	2008692 pt
野々原茜80位	1862005 pt
野々原茜100位	1736138 pt
野々原茜120位	1676499 pt
野々原茜140位	1601771 pt
野々原茜160位	1530138 pt
野々原茜180位	1456559 pt
野々原茜200位	1408294 pt
野々原茜220位	1346873 pt
野々原茜240位	1292380 pt
野々原茜260位	1151418 pt
野々原茜280位	764070 pt
野々原茜300位	427983 pt
望月杏奈60位	3044138 pt
望月杏奈80位	3000536 pt
望月杏奈100位	2826583 pt
望月杏奈120位	2657872 pt
望月杏奈140位	2593829 pt
望月杏奈160位	2505145 pt
望月杏奈180位	2434540 pt
望月杏奈200位	2371720 pt
望月杏奈220位	2311251 pt
望月杏奈240位	2255694 pt
望月杏奈260位	2016976 pt
望月杏奈280位	748656 pt
望月杏奈300位	337030 pt
ロコ60位	2304672 pt
ロコ80位	2203022 pt
ロコ100位	2115771 pt
ロコ120位	2054916 pt
ロコ140位	2024602 pt
ロコ160位	2000000 pt
ロコ180位	1909020 pt
ロコ200位	1812417 pt
ロコ220位	1768306 pt
ロコ240位	1723391 pt
