春日未来41位	1305119 pt
春日未来42位	1303547 pt
春日未来43位	1303138 pt
春日未来44位	1302896 pt
春日未来45位	1275545 pt
春日未来46位	1275207 pt
春日未来47位	1249006 pt
春日未来48位	1246256 pt
春日未来49位	1240709 pt
春日未来50位	1233516 pt
春日未来51位	1219704 pt
春日未来52位	1205936 pt
春日未来53位	1204310 pt
春日未来54位	1203648 pt
春日未来55位	1198693 pt
春日未来56位	1194905 pt
春日未来57位	1187824 pt
春日未来58位	1185422 pt
春日未来59位	1180234 pt
春日未来60位	1170869 pt
春日未来61位	1079339 pt
春日未来62位	1077228 pt
春日未来63位	1065305 pt
春日未来64位	1043864 pt
春日未来65位	1042249 pt
春日未来66位	1020043 pt
春日未来67位	1013374 pt
春日未来68位	1011405 pt
春日未来69位	1003390 pt
春日未来70位	978350 pt
最上静香41位	1220711 pt
最上静香42位	1219303 pt
最上静香43位	1212856 pt
最上静香44位	1206613 pt
最上静香45位	1205602 pt
最上静香46位	1204744 pt
最上静香47位	1204541 pt
最上静香48位	1200937 pt
最上静香49位	1200826 pt
最上静香50位	1188339 pt
最上静香51位	1184238 pt
最上静香52位	1183394 pt
最上静香53位	1174888 pt
最上静香54位	1171597 pt
最上静香55位	1170922 pt
最上静香56位	1155791 pt
最上静香57位	1144470 pt
最上静香58位	1143848 pt
最上静香59位	1140937 pt
最上静香60位	1125766 pt
最上静香61位	1123487 pt
最上静香62位	1082755 pt
最上静香63位	1057237 pt
最上静香64位	1045118 pt
最上静香65位	1036288 pt
最上静香66位	1004647 pt
最上静香67位	984975 pt
最上静香68位	975730 pt
最上静香69位	967428 pt
最上静香70位	948954 pt
伊吹翼41位	1241703 pt
伊吹翼42位	1237560 pt
伊吹翼43位	1219559 pt
伊吹翼44位	1205767 pt
伊吹翼45位	1171614 pt
伊吹翼46位	1159084 pt
伊吹翼47位	1146258 pt
伊吹翼48位	1142925 pt
伊吹翼49位	1130249 pt
伊吹翼50位	1125397 pt
伊吹翼51位	1124522 pt
伊吹翼52位	1109781 pt
伊吹翼53位	1059707 pt
伊吹翼54位	1055326 pt
伊吹翼55位	1038066 pt
伊吹翼56位	1029738 pt
伊吹翼57位	1027922 pt
伊吹翼58位	1019845 pt
伊吹翼59位	1017144 pt
伊吹翼60位	981201 pt
伊吹翼61位	945566 pt
伊吹翼62位	924769 pt
伊吹翼63位	918884 pt
伊吹翼64位	912483 pt
伊吹翼65位	908026 pt
伊吹翼66位	904031 pt
伊吹翼67位	890554 pt
伊吹翼68位	889275 pt
伊吹翼69位	888090 pt
伊吹翼70位	885430 pt
田中琴葉41位	2200838 pt
田中琴葉42位	2197496 pt
田中琴葉43位	2146525 pt
田中琴葉44位	2072734 pt
田中琴葉45位	2053989 pt
田中琴葉46位	2045692 pt
田中琴葉47位	2045489 pt
田中琴葉48位	2023206 pt
田中琴葉49位	2008124 pt
田中琴葉50位	2002131 pt
田中琴葉51位	1995356 pt
田中琴葉52位	1898982 pt
田中琴葉53位	1880485 pt
田中琴葉54位	1853950 pt
田中琴葉55位	1848219 pt
田中琴葉56位	1837573 pt
田中琴葉57位	1835365 pt
田中琴葉58位	1829633 pt
田中琴葉59位	1800787 pt
田中琴葉60位	1797237 pt
田中琴葉61位	1784269 pt
田中琴葉62位	1774830 pt
田中琴葉63位	1767266 pt
田中琴葉64位	1739766 pt
田中琴葉65位	1726399 pt
田中琴葉66位	1703661 pt
田中琴葉67位	1697739 pt
田中琴葉68位	1665352 pt
田中琴葉69位	1631862 pt
田中琴葉70位	1626569 pt
島原エレナ41位	768353 pt
島原エレナ42位	759982 pt
島原エレナ43位	734865 pt
島原エレナ44位	733274 pt
