春日未来1位	255438 pt
春日未来2位	215405 pt
春日未来3位	185914 pt
春日未来4位	178442 pt
春日未来5位	170985 pt
春日未来6位	156253 pt
春日未来7位	124119 pt
春日未来8位	108208 pt
春日未来9位	104788 pt
春日未来10位	103927 pt
春日未来11位	97771 pt
春日未来12位	95862 pt
春日未来13位	95203 pt
春日未来14位	89388 pt
春日未来15位	76537 pt
春日未来16位	70262 pt
春日未来17位	65605 pt
春日未来18位	65249 pt
春日未来19位	64586 pt
春日未来20位	62108 pt
春日未来21位	61126 pt
春日未来22位	56379 pt
春日未来23位	52984 pt
春日未来24位	52748 pt
春日未来25位	48572 pt
春日未来26位	47152 pt
春日未来27位	47003 pt
春日未来28位	46009 pt
春日未来29位	45159 pt
春日未来30位	44898 pt
最上静香1位	1075315 pt
最上静香2位	351025 pt
最上静香3位	284258 pt
最上静香4位	193859 pt
最上静香5位	182210 pt
最上静香6位	167434 pt
最上静香7位	128073 pt
最上静香8位	119192 pt
最上静香9位	111606 pt
最上静香10位	110127 pt
最上静香11位	108514 pt
最上静香12位	102924 pt
最上静香13位	89800 pt
最上静香14位	85965 pt
最上静香15位	85961 pt
最上静香16位	72082 pt
最上静香17位	68362 pt
最上静香18位	65348 pt
最上静香19位	61322 pt
最上静香20位	61272 pt
最上静香21位	59607 pt
最上静香22位	57401 pt
最上静香23位	50966 pt
最上静香24位	46125 pt
最上静香25位	43213 pt
最上静香26位	41975 pt
最上静香27位	40329 pt
最上静香28位	39880 pt
最上静香29位	38539 pt
最上静香30位	38493 pt
伊吹翼1位	278077 pt
伊吹翼2位	239474 pt
伊吹翼3位	191863 pt
伊吹翼4位	166089 pt
伊吹翼5位	159484 pt
伊吹翼6位	148738 pt
伊吹翼7位	129917 pt
伊吹翼8位	123915 pt
伊吹翼9位	111357 pt
伊吹翼10位	109244 pt
伊吹翼11位	102706 pt
伊吹翼12位	100019 pt
伊吹翼13位	93455 pt
伊吹翼14位	86854 pt
伊吹翼15位	78027 pt
伊吹翼16位	77349 pt
伊吹翼17位	58821 pt
伊吹翼18位	51749 pt
伊吹翼19位	48992 pt
伊吹翼20位	48362 pt
伊吹翼21位	47528 pt
伊吹翼22位	46664 pt
伊吹翼23位	46425 pt
伊吹翼24位	35613 pt
伊吹翼25位	35425 pt
伊吹翼26位	31574 pt
伊吹翼27位	29957 pt
伊吹翼28位	29113 pt
伊吹翼29位	28397 pt
伊吹翼30位	27901 pt
田中琴葉1位	1206979 pt
田中琴葉2位	552912 pt
田中琴葉3位	390467 pt
田中琴葉4位	372915 pt
田中琴葉5位	361526 pt
田中琴葉6位	339493 pt
田中琴葉7位	243969 pt
田中琴葉8位	236760 pt
田中琴葉9位	230083 pt
田中琴葉10位	182208 pt
田中琴葉11位	156177 pt
田中琴葉12位	143937 pt
田中琴葉13位	143884 pt
田中琴葉14位	143834 pt
田中琴葉15位	139545 pt
田中琴葉16位	136055 pt
田中琴葉17位	133575 pt
田中琴葉18位	126441 pt
田中琴葉19位	120731 pt
田中琴葉20位	116864 pt
田中琴葉21位	109531 pt
田中琴葉22位	109480 pt
田中琴葉23位	106425 pt
田中琴葉24位	104661 pt
田中琴葉25位	98219 pt
田中琴葉26位	96713 pt
田中琴葉27位	90300 pt
田中琴葉28位	87909 pt
田中琴葉29位	83862 pt
田中琴葉30位	83336 pt
島原エレナ1位	467672 pt
島原エレナ2位	386385 pt
島原エレナ3位	184307 pt
島原エレナ4位	177309 pt
島原エレナ5位	175573 pt
島原エレナ6位	164293 pt
島原エレナ7位	162338 pt
島原エレナ8位	135824 pt
島原エレナ9位	119994 pt
島原エレナ10位	107352 pt
島原エレナ11位	107272 pt
島原エレナ12位	88923 pt
島原エレナ13位	71487 pt
島原エレナ14位	62638 pt
島原エレナ15位	60469 pt
島原エレナ16位	58852 pt
島原エレナ17位	50212 pt
島原エレナ18位	46802 pt
島原エレナ19位	43011 pt
島原エレナ20位	38545 pt
島原エレナ21位	37009 pt
島原エレナ22位	35432 pt
島原エレナ23位	32580 pt
島原エレナ24位	31760 pt
島原エレナ25位	29903 pt
島原エレナ26位	29023 pt
島原エレナ27位	24456 pt
島原エレナ28位	24349 pt
島原エレナ29位	23638 pt
島原エレナ30位	22673 pt
佐竹美奈子1位	317500 pt
佐竹美奈子2位	303883 pt
佐竹美奈子3位	280257 pt
佐竹美奈子4位	253715 pt
佐竹美奈子5位	235994 pt
佐竹美奈子6位	184590 pt
佐竹美奈子7位	182686 pt
佐竹美奈子8位	178603 pt
佐竹美奈子9位	153501 pt
佐竹美奈子10位	151314 pt
佐竹美奈子11位	140275 pt
佐竹美奈子12位	123978 pt
佐竹美奈子13位	102285 pt
佐竹美奈子14位	101076 pt
佐竹美奈子15位	100686 pt
佐竹美奈子16位	96452 pt
佐竹美奈子17位	86928 pt
佐竹美奈子18位	86357 pt
佐竹美奈子19位	85135 pt
佐竹美奈子20位	78786 pt
佐竹美奈子21位	73887 pt
佐竹美奈子22位	72760 pt
佐竹美奈子23位	70567 pt
佐竹美奈子24位	70095 pt
佐竹美奈子25位	63099 pt
佐竹美奈子26位	62459 pt
佐竹美奈子27位	54249 pt
佐竹美奈子28位	47800 pt
佐竹美奈子29位	46915 pt
佐竹美奈子30位	46715 pt
所恵美1位	435628 pt
所恵美2位	220158 pt
所恵美3位	200081 pt
所恵美4位	181657 pt
所恵美5位	181250 pt
所恵美6位	178366 pt
所恵美7位	170148 pt
所恵美8位	164871 pt
所恵美9位	157287 pt
所恵美10位	121495 pt
所恵美11位	117255 pt
所恵美12位	110089 pt
所恵美13位	108768 pt
所恵美14位	107765 pt
所恵美15位	101229 pt
所恵美16位	96806 pt
所恵美17位	87185 pt
所恵美18位	85856 pt
所恵美19位	85170 pt
所恵美20位	81683 pt
所恵美21位	79865 pt
所恵美22位	79470 pt
所恵美23位	77403 pt
所恵美24位	76890 pt
所恵美25位	74706 pt
所恵美26位	74322 pt
所恵美27位	74027 pt
所恵美28位	68263 pt
所恵美29位	64839 pt
所恵美30位	64073 pt
徳川まつり1位	151673 pt
徳川まつり2位	136261 pt
徳川まつり3位	124243 pt
徳川まつり4位	119950 pt
徳川まつり5位	93254 pt
徳川まつり6位	83856 pt
徳川まつり7位	80405 pt
徳川まつり8位	79472 pt
徳川まつり9位	78990 pt
