チーム春日未来1位	456795 pt
チーム春日未来2位	420249 pt
チーム春日未来3位	396191 pt
チーム春日未来4位	376092 pt
チーム春日未来5位	334358 pt
チーム春日未来6位	256999 pt
チーム春日未来7位	251191 pt
チーム春日未来8位	244408 pt
チーム春日未来9位	240170 pt
チーム春日未来10位	225370 pt
チーム春日未来11位	206912 pt
チーム春日未来12位	205008 pt
チーム春日未来13位	168033 pt
チーム春日未来14位	166623 pt
チーム春日未来15位	160232 pt
チーム春日未来16位	136431 pt
チーム春日未来17位	135080 pt
チーム春日未来18位	132692 pt
チーム春日未来19位	115444 pt
チーム春日未来20位	115206 pt
チーム春日未来21位	110880 pt
チーム春日未来22位	108208 pt
チーム春日未来23位	103927 pt
チーム春日未来24位	98871 pt
チーム春日未来25位	97146 pt
チーム春日未来26位	95862 pt
チーム春日未来27位	81156 pt
チーム春日未来28位	81070 pt
チーム春日未来29位	75629 pt
チーム春日未来30位	75338 pt
チーム最上静香1位	1758347 pt
チーム最上静香2位	1014675 pt
チーム最上静香3位	624685 pt
チーム最上静香4位	334579 pt
チーム最上静香5位	300463 pt
チーム最上静香6位	275058 pt
チーム最上静香7位	232700 pt
チーム最上静香8位	212475 pt
チーム最上静香9位	182210 pt
チーム最上静香10位	167382 pt
チーム最上静香11位	162556 pt
チーム最上静香12位	137829 pt
チーム最上静香13位	131516 pt
チーム最上静香14位	123008 pt
チーム最上静香15位	122443 pt
チーム最上静香16位	115955 pt
チーム最上静香17位	113223 pt
チーム最上静香18位	103638 pt
チーム最上静香19位	102165 pt
チーム最上静香20位	101268 pt
チーム最上静香21位	97220 pt
チーム最上静香22位	95950 pt
チーム最上静香23位	95151 pt
チーム最上静香24位	90335 pt
チーム最上静香25位	87416 pt
チーム最上静香26位	86628 pt
チーム最上静香27位	82618 pt
チーム最上静香28位	79592 pt
チーム最上静香29位	79539 pt
チーム最上静香30位	74854 pt
チーム伊吹翼1位	534244 pt
チーム伊吹翼2位	421887 pt
チーム伊吹翼3位	418217 pt
チーム伊吹翼4位	353524 pt
チーム伊吹翼5位	327657 pt
チーム伊吹翼6位	295445 pt
チーム伊吹翼7位	289278 pt
チーム伊吹翼8位	268909 pt
チーム伊吹翼9位	250977 pt
チーム伊吹翼10位	200602 pt
チーム伊吹翼11位	199266 pt
チーム伊吹翼12位	170044 pt
チーム伊吹翼13位	164668 pt
チーム伊吹翼14位	163856 pt
チーム伊吹翼15位	145299 pt
チーム伊吹翼16位	126604 pt
チーム伊吹翼17位	124276 pt
チーム伊吹翼18位	120793 pt
チーム伊吹翼19位	105670 pt
チーム伊吹翼20位	104831 pt
チーム伊吹翼21位	102856 pt
チーム伊吹翼22位	98899 pt
チーム伊吹翼23位	85292 pt
チーム伊吹翼24位	82238 pt
チーム伊吹翼25位	80582 pt
チーム伊吹翼26位	80018 pt
チーム伊吹翼27位	79900 pt
チーム伊吹翼28位	78466 pt
チーム伊吹翼29位	76923 pt
チーム伊吹翼30位	76900 pt
チーム田中琴葉1位	2063040 pt
チーム田中琴葉2位	1080472 pt
チーム田中琴葉3位	812018 pt
チーム田中琴葉4位	757398 pt
チーム田中琴葉5位	652165 pt
チーム田中琴葉6位	650667 pt
チーム田中琴葉7位	649012 pt
チーム田中琴葉8位	466649 pt
チーム田中琴葉9位	401539 pt
チーム田中琴葉10位	375107 pt
チーム田中琴葉11位	316557 pt
チーム田中琴葉12位	305670 pt
チーム田中琴葉13位	273011 pt
チーム田中琴葉14位	269508 pt
チーム田中琴葉15位	237153 pt
チーム田中琴葉16位	230260 pt
チーム田中琴葉17位	211949 pt
チーム田中琴葉18位	197601 pt
チーム田中琴葉19位	196218 pt
チーム田中琴葉20位	195574 pt
チーム田中琴葉21位	195002 pt
チーム田中琴葉22位	193379 pt
チーム田中琴葉23位	188066 pt
チーム田中琴葉24位	182405 pt
チーム田中琴葉25位	170448 pt
チーム田中琴葉26位	166344 pt
チーム田中琴葉27位	162344 pt
チーム田中琴葉28位	148292 pt
チーム田中琴葉29位	146284 pt
チーム田中琴葉30位	142381 pt
チーム島原エレナ1位	682511 pt
チーム島原エレナ2位	509270 pt
チーム島原エレナ3位	476428 pt
チーム島原エレナ4位	368399 pt
チーム島原エレナ5位	339146 pt
チーム島原エレナ6位	269331 pt
チーム島原エレナ7位	232795 pt
チーム島原エレナ8位	227844 pt
チーム島原エレナ9位	218098 pt
チーム島原エレナ10位	207778 pt
チーム島原エレナ11位	166466 pt
チーム島原エレナ12位	159591 pt
チーム島原エレナ13位	158755 pt
チーム島原エレナ14位	136836 pt
チーム島原エレナ15位	124445 pt
チーム島原エレナ16位	123144 pt
チーム島原エレナ17位	116732 pt
チーム島原エレナ18位	115349 pt
チーム島原エレナ19位	97529 pt
チーム島原エレナ20位	67553 pt
チーム島原エレナ21位	57883 pt
チーム島原エレナ22位	56295 pt
チーム島原エレナ23位	55009 pt
チーム島原エレナ24位	54290 pt
チーム島原エレナ25位	47529 pt
チーム島原エレナ26位	45373 pt
チーム島原エレナ27位	42110 pt
チーム島原エレナ28位	38618 pt
チーム島原エレナ29位	37994 pt
チーム島原エレナ30位	35956 pt
チーム佐竹美奈子1位	674052 pt
チーム佐竹美奈子2位	613932 pt
チーム佐竹美奈子3位	587121 pt
チーム佐竹美奈子4位	528910 pt
チーム佐竹美奈子5位	518301 pt
チーム佐竹美奈子6位	494391 pt
チーム佐竹美奈子7位	378945 pt
チーム佐竹美奈子8位	272653 pt
チーム佐竹美奈子9位	271075 pt
チーム佐竹美奈子10位	256800 pt
チーム佐竹美奈子11位	248427 pt
チーム佐竹美奈子12位	244518 pt
チーム佐竹美奈子13位	191410 pt
チーム佐竹美奈子14位	182948 pt
チーム佐竹美奈子15位	178603 pt
チーム佐竹美奈子16位	170903 pt
チーム佐竹美奈子17位	160675 pt
チーム佐竹美奈子18位	156443 pt
チーム佐竹美奈子19位	152701 pt
チーム佐竹美奈子20位	143533 pt
チーム佐竹美奈子21位	135825 pt
チーム佐竹美奈子22位	135693 pt
チーム佐竹美奈子23位	126106 pt
チーム佐竹美奈子24位	118544 pt
チーム佐竹美奈子25位	118281 pt
チーム佐竹美奈子26位	111173 pt
チーム佐竹美奈子27位	110577 pt
チーム佐竹美奈子28位	104855 pt
チーム佐竹美奈子29位	104778 pt
チーム佐竹美奈子30位	99879 pt
チーム所恵美1位	500682 pt
チーム所恵美2位	373921 pt
チーム所恵美3位	318608 pt
チーム所恵美4位	301793 pt
チーム所恵美5位	274847 pt
チーム所恵美6位	262521 pt
チーム所恵美7位	261947 pt
チーム所恵美8位	261673 pt
チーム所恵美9位	247621 pt
チーム所恵美10位	237399 pt
チーム所恵美11位	237239 pt
チーム所恵美12位	223506 pt
チーム所恵美13位	223252 pt
チーム所恵美14位	220158 pt
チーム所恵美15位	201381 pt
チーム所恵美16位	197246 pt
チーム所恵美17位	193855 pt
チーム所恵美18位	186132 pt
チーム所恵美19位	183352 pt
チーム所恵美20位	179009 pt
チーム所恵美21位	175066 pt
チーム所恵美22位	162895 pt
チーム所恵美23位	156838 pt
チーム所恵美24位	148286 pt
チーム所恵美25位	142993 pt
チーム所恵美26位	133132 pt
チーム所恵美27位	130331 pt
チーム所恵美28位	123270 pt
チーム所恵美29位	113287 pt
チーム所恵美30位	110089 pt
チーム徳川まつり1位	508655 pt
チーム徳川まつり2位	411878 pt
チーム徳川まつり3位	342077 pt
チーム徳川まつり4位	289470 pt
チーム徳川まつり5位	187180 pt
チーム徳川まつり6位	175405 pt
チーム徳川まつり7位	167225 pt
チーム徳川まつり8位	161600 pt
チーム徳川まつり9位	141919 pt
チーム徳川まつり10位	140712 pt
チーム徳川まつり11位	111467 pt
チーム徳川まつり12位	108889 pt
チーム徳川まつり13位	105495 pt
チーム徳川まつり14位	96720 pt
チーム徳川まつり15位	93254 pt
チーム徳川まつり16位	87098 pt
チーム徳川まつり17位	81043 pt
チーム徳川まつり18位	73931 pt
チーム徳川まつり19位	72126 pt
チーム徳川まつり20位	66019 pt
チーム徳川まつり21位	65714 pt
チーム徳川まつり22位	64387 pt
チーム徳川まつり23位	64380 pt
チーム徳川まつり24位	61375 pt
チーム徳川まつり25位	59174 pt
チーム徳川まつり26位	55991 pt
チーム徳川まつり27位	55278 pt
チーム徳川まつり28位	53295 pt
チーム徳川まつり29位	47969 pt
チーム徳川まつり30位	47884 pt
チーム箱崎星梨花1位	635788 pt
チーム箱崎星梨花2位	506397 pt
チーム箱崎星梨花3位	347368 pt
チーム箱崎星梨花4位	344328 pt
チーム箱崎星梨花5位	318379 pt
チーム箱崎星梨花6位	313910 pt
チーム箱崎星梨花7位	304334 pt
チーム箱崎星梨花8位	280729 pt
チーム箱崎星梨花9位	274849 pt
チーム箱崎星梨花10位	246065 pt
チーム箱崎星梨花11位	229461 pt
チーム箱崎星梨花12位	219923 pt
チーム箱崎星梨花13位	216299 pt
チーム箱崎星梨花14位	191531 pt
チーム箱崎星梨花15位	187454 pt
チーム箱崎星梨花16位	183929 pt
チーム箱崎星梨花17位	177055 pt
チーム箱崎星梨花18位	172991 pt
チーム箱崎星梨花19位	161738 pt
チーム箱崎星梨花20位	158647 pt
チーム箱崎星梨花21位	150393 pt
チーム箱崎星梨花22位	123517 pt
チーム箱崎星梨花23位	114161 pt
チーム箱崎星梨花24位	111857 pt
チーム箱崎星梨花25位	109219 pt
チーム箱崎星梨花26位	109156 pt
チーム箱崎星梨花27位	106218 pt
チーム箱崎星梨花28位	102810 pt
チーム箱崎星梨花29位	101805 pt
チーム箱崎星梨花30位	91598 pt
チーム野々原茜1位	418409 pt
チーム野々原茜2位	165244 pt
チーム野々原茜3位	156809 pt
チーム野々原茜4位	136036 pt
チーム野々原茜5位	130190 pt
チーム野々原茜6位	128542 pt
チーム野々原茜7位	126068 pt
チーム野々原茜8位	108372 pt
チーム野々原茜9位	108269 pt
チーム野々原茜10位	107079 pt
チーム野々原茜11位	101752 pt
チーム野々原茜12位	90128 pt
チーム野々原茜13位	84540 pt
チーム野々原茜14位	84068 pt
チーム野々原茜15位	79361 pt
チーム野々原茜16位	77496 pt
チーム野々原茜17位	76891 pt
チーム野々原茜18位	71588 pt
チーム野々原茜19位	61571 pt
チーム野々原茜20位	61556 pt
チーム野々原茜21位	60842 pt
チーム野々原茜22位	58183 pt
チーム野々原茜23位	57900 pt
チーム野々原茜24位	55573 pt
チーム野々原茜25位	53266 pt
チーム野々原茜26位	50621 pt
チーム野々原茜27位	50505 pt
チーム野々原茜28位	47376 pt
チーム野々原茜29位	46738 pt
チーム野々原茜30位	45594 pt
チーム望月杏奈1位	3350190 pt
チーム望月杏奈2位	1419151 pt
チーム望月杏奈3位	742856 pt
チーム望月杏奈4位	668158 pt
チーム望月杏奈5位	666667 pt
チーム望月杏奈6位	664577 pt
チーム望月杏奈7位	472136 pt
チーム望月杏奈8位	412412 pt
チーム望月杏奈9位	405838 pt
チーム望月杏奈10位	352867 pt
チーム望月杏奈11位	318735 pt
チーム望月杏奈12位	314238 pt
チーム望月杏奈13位	284513 pt
チーム望月杏奈14位	273594 pt
チーム望月杏奈15位	269319 pt
チーム望月杏奈16位	261025 pt
チーム望月杏奈17位	226960 pt
チーム望月杏奈18位	226215 pt
チーム望月杏奈19位	225368 pt
チーム望月杏奈20位	210209 pt
チーム望月杏奈21位	198300 pt
チーム望月杏奈22位	196559 pt
チーム望月杏奈23位	195688 pt
チーム望月杏奈24位	195355 pt
チーム望月杏奈25位	189915 pt
チーム望月杏奈26位	179551 pt
チーム望月杏奈27位	177493 pt
チーム望月杏奈28位	167935 pt
チーム望月杏奈29位	162911 pt
チーム望月杏奈30位	157762 pt
チーム七尾百合子1位	624610 pt
チーム七尾百合子2位	508718 pt
チーム七尾百合子3位	427379 pt
チーム七尾百合子4位	414404 pt
チーム七尾百合子5位	372789 pt
チーム七尾百合子6位	289120 pt
チーム七尾百合子7位	283470 pt
チーム七尾百合子8位	276693 pt
チーム七尾百合子9位	248408 pt
チーム七尾百合子10位	246201 pt
チーム七尾百合子11位	229344 pt
チーム七尾百合子12位	228704 pt
チーム七尾百合子13位	222215 pt
チーム七尾百合子14位	179941 pt
チーム七尾百合子15位	175372 pt
チーム七尾百合子16位	168522 pt
チーム七尾百合子17位	163590 pt
チーム七尾百合子18位	159008 pt
チーム七尾百合子19位	157969 pt
チーム七尾百合子20位	150503 pt
チーム七尾百合子21位	150461 pt
チーム七尾百合子22位	140454 pt
チーム七尾百合子23位	127143 pt
チーム七尾百合子24位	123527 pt
チーム七尾百合子25位	122118 pt
チーム七尾百合子26位	119141 pt
チーム七尾百合子27位	100054 pt
チーム七尾百合子28位	90593 pt
チーム七尾百合子29位	86392 pt
チーム七尾百合子30位	84210 pt
チーム高山紗代子1位	1164950 pt
チーム高山紗代子2位	842393 pt
チーム高山紗代子3位	479692 pt
チーム高山紗代子4位	375728 pt
チーム高山紗代子5位	330905 pt
チーム高山紗代子6位	326492 pt
チーム高山紗代子7位	319984 pt
チーム高山紗代子8位	313060 pt
チーム高山紗代子9位	293932 pt
チーム高山紗代子10位	230344 pt
チーム高山紗代子11位	221922 pt
チーム高山紗代子12位	214442 pt
チーム高山紗代子13位	201253 pt
チーム高山紗代子14位	186616 pt
チーム高山紗代子15位	181379 pt
チーム高山紗代子16位	178528 pt
チーム高山紗代子17位	176618 pt
チーム高山紗代子18位	163160 pt
チーム高山紗代子19位	161541 pt
チーム高山紗代子20位	155704 pt
チーム高山紗代子21位	138695 pt
チーム高山紗代子22位	135016 pt
チーム高山紗代子23位	129065 pt
チーム高山紗代子24位	119887 pt
チーム高山紗代子25位	118712 pt
チーム高山紗代子26位	116375 pt
チーム高山紗代子27位	113828 pt
チーム高山紗代子28位	113202 pt
チーム高山紗代子29位	110913 pt
チーム高山紗代子30位	107173 pt
チーム松田亜利沙1位	441041 pt
チーム松田亜利沙2位	436192 pt
チーム松田亜利沙3位	397346 pt
チーム松田亜利沙4位	305475 pt
チーム松田亜利沙5位	250000 pt
チーム松田亜利沙6位	244076 pt
チーム松田亜利沙7位	224032 pt
チーム松田亜利沙8位	218156 pt
チーム松田亜利沙9位	215699 pt
チーム松田亜利沙10位	163720 pt
チーム松田亜利沙11位	156700 pt
チーム松田亜利沙12位	154889 pt
チーム松田亜利沙13位	154183 pt
チーム松田亜利沙14位	136648 pt
チーム松田亜利沙15位	131191 pt
チーム松田亜利沙16位	118002 pt
チーム松田亜利沙17位	117799 pt
チーム松田亜利沙18位	106497 pt
チーム松田亜利沙19位	103218 pt
チーム松田亜利沙20位	101541 pt
チーム松田亜利沙21位	93602 pt
チーム松田亜利沙22位	89586 pt
チーム松田亜利沙23位	84705 pt
チーム松田亜利沙24位	81812 pt
チーム松田亜利沙25位	73949 pt
チーム松田亜利沙26位	70024 pt
チーム松田亜利沙27位	69680 pt
チーム松田亜利沙28位	69377 pt
チーム松田亜利沙29位	65532 pt
チーム松田亜利沙30位	54840 pt
チーム高坂海美1位	699970 pt
チーム高坂海美2位	609929 pt
チーム高坂海美3位	433884 pt
チーム高坂海美4位	414523 pt
チーム高坂海美5位	257259 pt
チーム高坂海美6位	255804 pt
チーム高坂海美7位	243058 pt
チーム高坂海美8位	239494 pt
チーム高坂海美9位	208650 pt
チーム高坂海美10位	201078 pt
チーム高坂海美11位	176444 pt
チーム高坂海美12位	171730 pt
チーム高坂海美13位	150247 pt
チーム高坂海美14位	141710 pt
チーム高坂海美15位	133995 pt
チーム高坂海美16位	123696 pt
チーム高坂海美17位	105382 pt
チーム高坂海美18位	99633 pt
チーム高坂海美19位	96498 pt
チーム高坂海美20位	87770 pt
チーム高坂海美21位	81875 pt
チーム高坂海美22位	79266 pt
チーム高坂海美23位	70302 pt
チーム高坂海美24位	61439 pt
チーム高坂海美25位	59477 pt
チーム高坂海美26位	59222 pt
チーム高坂海美27位	59213 pt
チーム高坂海美28位	57178 pt
チーム高坂海美29位	56506 pt
チーム高坂海美30位	56078 pt
チーム中谷育1位	1224671 pt
チーム中谷育2位	732074 pt
チーム中谷育3位	290954 pt
チーム中谷育4位	210995 pt
チーム中谷育5位	187857 pt
チーム中谷育6位	147562 pt
チーム中谷育7位	146643 pt
チーム中谷育8位	128608 pt
チーム中谷育9位	122147 pt
チーム中谷育10位	114125 pt
チーム中谷育11位	111730 pt
チーム中谷育12位	98707 pt
チーム中谷育13位	89551 pt
チーム中谷育14位	78310 pt
チーム中谷育15位	77323 pt
チーム中谷育16位	64386 pt
チーム中谷育17位	61199 pt
チーム中谷育18位	56038 pt
チーム中谷育19位	51745 pt
チーム中谷育20位	50733 pt
チーム中谷育21位	49001 pt
