チームA141位	2020703 pt
チームA142位	2007010 pt
チームA143位	1963162 pt
チームA144位	1959319 pt
チームA145位	1910774 pt
チームA146位	1786022 pt
チームA147位	1703088 pt
チームA148位	1676888 pt
チームA149位	1609042 pt
チームA150位	1583433 pt
チームA151位	1567712 pt
チームA152位	1561727 pt
チームA153位	1548393 pt
チームA154位	1371038 pt
チームA155位	1367548 pt
チームA156位	1309468 pt
チームA157位	1303887 pt
チームA158位	1277405 pt
チームA159位	1241755 pt
チームA160位	1158481 pt
チームB141位	5235463 pt
チームB142位	5222379 pt
チームB143位	5196690 pt
チームB144位	5196622 pt
チームB145位	5170390 pt
チームB146位	5164094 pt
チームB147位	5147430 pt
チームB148位	5120017 pt
チームB149位	5111852 pt
チームB150位	5110681 pt
チームB151位	5066026 pt
チームB152位	5056510 pt
チームB153位	5048520 pt
チームB154位	4991492 pt
チームB155位	4914106 pt
チームB156位	4905388 pt
チームB157位	4798321 pt
チームB158位	4763045 pt
チームB159位	4752607 pt
チームB160位	4733362 pt
チームC141位	3194375 pt
チームC142位	3185765 pt
チームC143位	3181055 pt
チームC144位	3156244 pt
チームC145位	3134199 pt
チームC146位	3132880 pt
チームC147位	3122165 pt
チームC148位	3110656 pt
チームC149位	3105715 pt
チームC150位	3094338 pt
チームC151位	3056974 pt
チームC152位	3048876 pt
チームC153位	3010752 pt
チームC154位	2999667 pt
チームC155位	2974391 pt
チームC156位	2971206 pt
チームC157位	2958766 pt
チームC158位	2886581 pt
チームC159位	2879518 pt
チームC160位	2823156 pt
チームD141位	3734102 pt
チームD142位	3733775 pt
チームD143位	3722590 pt
チームD144位	3715171 pt
チームD145位	3706608 pt
チームD146位	3703970 pt
チームD147位	3703175 pt
チームD148位	3676639 pt
チームD149位	3659377 pt
チームD150位	3652799 pt
チームD151位	3642127 pt
チームD152位	3632181 pt
チームD153位	3631680 pt
チームD154位	3606021 pt
チームD155位	3593624 pt
チームD156位	3591170 pt
チームD157位	3485521 pt
チームD158位	3418624 pt
チームD159位	3415005 pt
チームD160位	3406220 pt
チームE141位	3916808 pt
チームE142位	3886895 pt
チームE143位	3880111 pt
チームE144位	3869227 pt
チームE145位	3850264 pt
チームE146位	3827797 pt
チームE147位	3728072 pt
チームE148位	3723111 pt
チームE149位	3694031 pt
チームE150位	3687911 pt
チームE151位	3649649 pt
チームE152位	3627371 pt
チームE153位	3567365 pt
チームE154位	3518130 pt
チームE155位	3516002 pt
チームE156位	3462284 pt
チームE157位	3435954 pt
チームE158位	3415927 pt
チームE159位	3283888 pt
チームE160位	3176726 pt
チームF141位	6819854 pt
チームF142位	6818949 pt
チームF143位	6769916 pt
チームF144位	6759477 pt
チームF145位	6759158 pt
チームF146位	6741645 pt
チームF147位	6725064 pt
チームF148位	6712191 pt
チームF149位	6647737 pt
チームF150位	6613214 pt
チームF151位	6595541 pt
チームF152位	6539541 pt
チームF153位	6526115 pt
チームF154位	6468804 pt
チームF155位	6463440 pt
チームF156位	6447580 pt
チームF157位	6381243 pt
チームF158位	6211524 pt
チームF159位	5809166 pt
チームF160位	5781287 pt
チームG141位	2486438 pt
チームG142位	2478177 pt
チームG143位	2400821 pt
チームG144位	2391127 pt
チームG145位	2369431 pt
チームG146位	2312997 pt
チームG147位	2306231 pt
チームG148位	2262349 pt
チームG149位	2228238 pt
チームG150位	2227269 pt
チームG151位	2215873 pt
チームG152位	2182247 pt
チームG153位	2132649 pt
チームG154位	2109233 pt
チームG155位	2071047 pt
チームG156位	2042976 pt
チームG157位	2035887 pt
チームG158位	2035422 pt
チームG159位	1848418 pt
チームG160位	1827845 pt
チームH141位	3941928 pt
チームH142位	3934717 pt
チームH143位	3932391 pt
チームH144位	3925523 pt
チームH145位	3918892 pt
チームH146位	3880501 pt
チームH147位	3847835 pt
チームH148位	3846388 pt
チームH149位	3826701 pt
チームH150位	3788313 pt
チームH151位	3785476 pt
チームH152位	3750000 pt
チームH153位	3747559 pt
チームH154位	3698534 pt
チームH155位	3648278 pt
チームH156位	3642858 pt
チームH157位	3633079 pt
チームH158位	3587140 pt
チームH159位	3579926 pt
チームH160位	3554030 pt
チームI141位	4526520 pt
チームI142位	4519351 pt
チームI143位	4516320 pt
チームI144位	4512695 pt
チームI145位	4484657 pt
チームI146位	4464530 pt
チームI147位	4454432 pt
チームI148位	4447131 pt
チームI149位	4380614 pt
チームI150位	4361809 pt
チームI151位	4298414 pt
チームI152位	4291950 pt
チームI153位	4285002 pt
チームI154位	4251038 pt
チームI155位	4169691 pt
チームI156位	4157622 pt
チームI157位	4152102 pt
チームI158位	4142349 pt
チームI159位	4114508 pt
チームI160位	4112317 pt
チームJ141位	4262755 pt
チームJ142位	4258826 pt
チームJ143位	4253684 pt
チームJ144位	4253161 pt
チームJ145位	4245287 pt
チームJ146位	4244255 pt
チームJ147位	4225753 pt
チームJ148位	4214300 pt
チームJ149位	4214009 pt
チームJ150位	4213593 pt
チームJ151位	4201656 pt
チームJ152位	4185151 pt
チームJ153位	4184958 pt
チームJ154位	4169025 pt
チームJ155位	4153856 pt
チームJ156位	4141332 pt
チームJ157位	4123672 pt
チームJ158位	4107373 pt
チームJ159位	4105684 pt
チームJ160位	4101795 pt
※10/30 20:42 集計時点のポイントですBY SKDN
