チームA131位	2483453 pt
チームA132位	2413005 pt
チームA133位	2325160 pt
チームA134位	2259203 pt
チームA135位	2239582 pt
チームA136位	2236700 pt
チームA137位	2233053 pt
チームA138位	2196846 pt
チームA139位	2144261 pt
チームA140位	2066105 pt
チームA141位	2020703 pt
チームA142位	2007010 pt
チームA143位	1963162 pt
チームA144位	1959319 pt
チームA145位	1910774 pt
チームA146位	1786022 pt
チームA147位	1703088 pt
チームA148位	1676888 pt
チームA149位	1609042 pt
チームA150位	1561727 pt
チームA151位	1548393 pt
チームA152位	1515817 pt
チームA153位	1478513 pt
チームA154位	1369928 pt
チームA155位	1364135 pt
チームA156位	1309468 pt
チームA157位	1303887 pt
チームA158位	1277405 pt
チームA159位	1161308 pt
チームA160位	1145349 pt
チームB131位	5295220 pt
チームB132位	5273848 pt
チームB133位	5273063 pt
チームB134位	5252757 pt
チームB135位	5246885 pt
チームB136位	5239887 pt
チームB137位	5214045 pt
チームB138位	5212162 pt
チームB139位	5203516 pt
チームB140位	5199867 pt
チームB141位	5166016 pt
チームB142位	5164094 pt
チームB143位	5148364 pt
チームB144位	5146011 pt
チームB145位	5131587 pt
チームB146位	5130929 pt
チームB147位	5110681 pt
チームB148位	5073353 pt
チームB149位	5056510 pt
チームB150位	5033645 pt
チームB151位	5016100 pt
チームB152位	4991156 pt
チームB153位	4983874 pt
チームB154位	4983492 pt
チームB155位	4856649 pt
チームB156位	4769325 pt
チームB157位	4740607 pt
チームB158位	4733362 pt
チームB159位	4726347 pt
チームB160位	4641293 pt
チームC131位	3230352 pt
チームC132位	3224266 pt
チームC133位	3219789 pt
チームC134位	3218622 pt
チームC135位	3213550 pt
チームC136位	3206784 pt
チームC137位	3187536 pt
チームC138位	3186191 pt
チームC139位	3183431 pt
チームC140位	3180233 pt
チームC141位	3178035 pt
チームC142位	3156244 pt
チームC143位	3139774 pt
チームC144位	3122165 pt
チームC145位	3121049 pt
チームC146位	3111522 pt
チームC147位	3110656 pt
チームC148位	3105715 pt
チームC149位	3094338 pt
チームC150位	3082733 pt
チームC151位	3048876 pt
チームC152位	3041842 pt
チームC153位	3010752 pt
チームC154位	2981373 pt
チームC155位	2947733 pt
チームC156位	2897478 pt
チームC157位	2882975 pt
チームC158位	2881404 pt
チームC159位	2823156 pt
チームC160位	2805450 pt
チームD131位	3776598 pt
チームD132位	3769472 pt
チームD133位	3762420 pt
チームD134位	3761197 pt
チームD135位	3752630 pt
チームD136位	3743942 pt
チームD137位	3742459 pt
チームD138位	3738219 pt
チームD139位	3734102 pt
チームD140位	3706608 pt
チームD141位	3704139 pt
チームD142位	3681771 pt
チームD143位	3676639 pt
チームD144位	3673659 pt
チームD145位	3667839 pt
チームD146位	3659377 pt
チームD147位	3655979 pt
チームD148位	3652799 pt
チームD149位	3642127 pt
チームD150位	3624736 pt
チームD151位	3613164 pt
チームD152位	3593624 pt
チームD153位	3592976 pt
チームD154位	3557699 pt
チームD155位	3519249 pt
チームD156位	3509018 pt
チームD157位	3438970 pt
チームD158位	3415004 pt
チームD159位	3387479 pt
チームD160位	3324719 pt
チームE131位	3987996 pt
チームE132位	3979130 pt
チームE133位	3959972 pt
チームE134位	3938306 pt
チームE135位	3933905 pt
チームE136位	3927479 pt
チームE137位	3919860 pt
チームE138位	3917384 pt
チームE139位	3897587 pt
チームE140位	3892399 pt
チームE141位	3853324 pt
チームE142位	3846405 pt
チームE143位	3837353 pt
チームE144位	3835914 pt
チームE145位	3827797 pt
チームE146位	3813408 pt
チームE147位	3723111 pt
チームE148位	3693542 pt
チームE149位	3654085 pt
チームE150位	3632599 pt
チームE151位	3627371 pt
チームE152位	3554016 pt
チームE153位	3518130 pt
チームE154位	3516002 pt
チームE155位	3510327 pt
チームE156位	3462284 pt
チームE157位	3427230 pt
チームE158位	3370672 pt
チームE159位	3169010 pt
チームE160位	3157152 pt
チームF131位	6874076 pt
チームF132位	6873349 pt
チームF133位	6866738 pt
チームF134位	6865147 pt
チームF135位	6849492 pt
チームF136位	6836795 pt
チームF137位	6818447 pt
チームF138位	6814760 pt
チームF139位	6773557 pt
チームF140位	6769916 pt
チームF141位	6726246 pt
チームF142位	6713783 pt
チームF143位	6709354 pt
チームF144位	6707635 pt
チームF145位	6706372 pt
チームF146位	6676605 pt
チームF147位	6635582 pt
チームF148位	6625575 pt
チームF149位	6550461 pt
チームF150位	6539541 pt
チームF151位	6492893 pt
チームF152位	6468804 pt
チームF153位	6459383 pt
チームF154位	6439791 pt
チームF155位	6399128 pt
チームF156位	6307753 pt
チームF157位	6191564 pt
チームF158位	6084916 pt
チームF159位	5809166 pt
チームF160位	5781286 pt
チームG131位	2651171 pt
チームG132位	2640131 pt
チームG133位	2607755 pt
チームG134位	2605559 pt
チームG135位	2599350 pt
チームG136位	2546913 pt
チームG137位	2544754 pt
チームG138位	2520950 pt
チームG139位	2498389 pt
チームG140位	2480221 pt
チームG141位	2423907 pt
チームG142位	2373405 pt
チームG143位	2370674 pt
チームG144位	2369431 pt
チームG145位	2364714 pt
チームG146位	2306231 pt
チームG147位	2226722 pt
チームG148位	2209787 pt
チームG149位	2195951 pt
チームG150位	2185001 pt
チームG151位	2182247 pt
チームG152位	2120921 pt
チームG153位	2109233 pt
チームG154位	2071047 pt
チームG155位	2042976 pt
チームG156位	2032749 pt
チームG157位	2031187 pt
チームG158位	1989128 pt
チームG159位	1807198 pt
チームG160位	1690699 pt
チームH131位	3969288 pt
チームH132位	3964756 pt
チームH133位	3964364 pt
チームH134位	3955733 pt
チームH135位	3946446 pt
チームH136位	3931350 pt
チームH137位	3922681 pt
チームH138位	3910934 pt
チームH139位	3887238 pt
チームH140位	3886645 pt
チームH141位	3874741 pt
チームH142位	3874180 pt
チームH143位	3850698 pt
チームH144位	3847135 pt
チームH145位	3846324 pt
チームH146位	3844007 pt
チームH147位	3826701 pt
チームH148位	3797944 pt
チームH149位	3791150 pt
チームH150位	3785476 pt
チームH151位	3750000 pt
チームH152位	3747559 pt
チームH153位	3699293 pt
チームH154位	3648278 pt
チームH155位	3639973 pt
チームH156位	3633079 pt
チームH157位	3611530 pt
チームH158位	3587140 pt
チームH159位	3579926 pt
チームH160位	3554030 pt
チームI131位	4564393 pt
チームI132位	4558984 pt
チームI133位	4557953 pt
チームI134位	4555682 pt
チームI135位	4551445 pt
チームI136位	4549674 pt
チームI137位	4538627 pt
チームI138位	4536428 pt
チームI139位	4535834 pt
チームI140位	4437589 pt
チームI141位	4430498 pt
チームI142位	4423981 pt
チームI143位	4386542 pt
チームI144位	4384235 pt
チームI145位	4372000 pt
チームI146位	4317648 pt
チームI147位	4316787 pt
チームI148位	4304503 pt
チームI149位	4298414 pt
チームI150位	4275243 pt
チームI151位	4269781 pt
チームI152位	4216641 pt
チームI153位	4167813 pt
チームI154位	4114508 pt
チームI155位	4112317 pt
チームI156位	4101543 pt
チームI157位	4079398 pt
チームI158位	4075387 pt
チームI159位	4061339 pt
チームI160位	4033319 pt
チームJ131位	4297620 pt
チームJ132位	4290074 pt
チームJ133位	4288480 pt
チームJ134位	4288169 pt
チームJ135位	4273683 pt
チームJ136位	4264591 pt
チームJ137位	4262755 pt
チームJ138位	4258826 pt
チームJ139位	4253393 pt
チームJ140位	4244255 pt
チームJ141位	4225753 pt
チームJ142位	4221709 pt
チームJ143位	4221370 pt
チームJ144位	4214885 pt
チームJ145位	4214300 pt
チームJ146位	4213593 pt
チームJ147位	4204868 pt
チームJ148位	4202231 pt
チームJ149位	4196262 pt
チームJ150位	4176445 pt
チームJ151位	4153856 pt
チームJ152位	4134064 pt
チームJ153位	4125821 pt
チームJ154位	4117411 pt
チームJ155位	4107580 pt
チームJ156位	4095637 pt
チームJ157位	4090609 pt
チームJ158位	4064841 pt
チームJ159位	4010950 pt
チームJ160位	4004020 pt
※10/30 20:25 集計時点のポイントですBY SKDN
