チームA21位	1206725 pt
チームA22位	1202172 pt
チームA23位	1202132 pt
チームA24位	1198092 pt
チームA25位	1180817 pt
チームA26位	1156642 pt
チームA27位	1128682 pt
チームA28位	1119602 pt
チームA29位	1118422 pt
チームA30位	1094017 pt
チームA31位	1068067 pt
チームA32位	1056078 pt
チームA33位	1054732 pt
チームA34位	1050158 pt
チームA35位	1026985 pt
チームA36位	981133 pt
チームA37位	940200 pt
チームA38位	938215 pt
チームA39位	913144 pt
チームA40位	912007 pt
チームA41位	902537 pt
チームA42位	899352 pt
チームA43位	887848 pt
チームA44位	864864 pt
チームA45位	851064 pt
チームA46位	817395 pt
チームA47位	793599 pt
チームA48位	791720 pt
チームA49位	788714 pt
チームA50位	780274 pt
チームB21位	1794630 pt
チームB22位	1713468 pt
チームB23位	1710520 pt
チームB24位	1708127 pt
チームB25位	1612010 pt
チームB26位	1560512 pt
チームB27位	1556258 pt
チームB28位	1543780 pt
チームB29位	1532411 pt
チームB30位	1529743 pt
チームB31位	1501480 pt
チームB32位	1494776 pt
チームB33位	1465340 pt
チームB34位	1453541 pt
チームB35位	1433169 pt
チームB36位	1410740 pt
チームB37位	1394053 pt
チームB38位	1382521 pt
チームB39位	1307014 pt
チームB40位	1288980 pt
チームB41位	1270828 pt
チームB42位	1270426 pt
チームB43位	1229873 pt
チームB44位	1227425 pt
チームB45位	1200831 pt
チームB46位	1198837 pt
チームB47位	1193824 pt
チームB48位	1190669 pt
チームB49位	1186757 pt
チームB50位	1185463 pt
チームC21位	1455089 pt
チームC22位	1434255 pt
チームC23位	1432325 pt
チームC24位	1408994 pt
チームC25位	1395260 pt
チームC26位	1380127 pt
チームC27位	1344512 pt
チームC28位	1297951 pt
チームC29位	1267484 pt
チームC30位	1230186 pt
チームC31位	1183886 pt
チームC32位	1174976 pt
チームC33位	1168816 pt
チームC34位	1154360 pt
チームC35位	1139395 pt
チームC36位	1113264 pt
チームC37位	1085227 pt
チームC38位	1075723 pt
チームC39位	1067393 pt
チームC40位	1060196 pt
チームC41位	1059270 pt
チームC42位	1055323 pt
チームC43位	1052567 pt
チームC44位	1043315 pt
チームC45位	1040964 pt
チームC46位	1040353 pt
チームC47位	1037354 pt
チームC48位	1026332 pt
チームC49位	1020615 pt
チームC50位	1016729 pt
チームD21位	1505370 pt
チームD22位	1501764 pt
チームD23位	1487032 pt
チームD24位	1438772 pt
チームD25位	1411087 pt
チームD26位	1357269 pt
チームD27位	1353235 pt
チームD28位	1327455 pt
チームD29位	1319665 pt
チームD30位	1284575 pt
チームD31位	1248035 pt
チームD32位	1237553 pt
チームD33位	1213488 pt
チームD34位	1205410 pt
チームD35位	1143024 pt
チームD36位	1137775 pt
チームD37位	1136561 pt
チームD38位	1128666 pt
チームD39位	1127905 pt
チームD40位	1113784 pt
チームD41位	1080031 pt
チームD42位	1059175 pt
チームD43位	1031663 pt
チームD44位	1023482 pt
チームD45位	1005270 pt
チームD46位	1003680 pt
チームD47位	1002245 pt
チームD48位	997026 pt
チームD49位	992483 pt
チームD50位	988308 pt
チームE21位	1522118 pt
チームE22位	1503768 pt
チームE23位	1501788 pt
チームE24位	1477116 pt
チームE25位	1471595 pt
チームE26位	1432929 pt
チームE27位	1401218 pt
チームE28位	1390060 pt
チームE29位	1378154 pt
チームE30位	1376837 pt
チームE31位	1376212 pt
チームE32位	1366339 pt
チームE33位	1330065 pt
チームE34位	1326608 pt
チームE35位	1260966 pt
チームE36位	1250447 pt
チームE37位	1210180 pt
チームE38位	1205445 pt
チームE39位	1178367 pt
チームE40位	1143479 pt
チームE41位	1142921 pt
チームE42位	1084842 pt
チームE43位	1041980 pt
チームE44位	1041843 pt
チームE45位	1029319 pt
チームE46位	1026158 pt
チームE47位	1021609 pt
チームE48位	1009967 pt
チームE49位	996018 pt
チームE50位	971986 pt
チームF21位	1842568 pt
チームF22位	1810217 pt
チームF23位	1755125 pt
チームF24位	1742117 pt
チームF25位	1720292 pt
チームF26位	1712798 pt
チームF27位	1701311 pt
チームF28位	1681480 pt
チームF29位	1668929 pt
チームF30位	1625790 pt
チームF31位	1607651 pt
チームF32位	1601685 pt
チームF33位	1559931 pt
チームF34位	1547954 pt
チームF35位	1547590 pt
チームF36位	1540205 pt
チームF37位	1526323 pt
チームF38位	1513491 pt
チームF39位	1483070 pt
チームF40位	1479063 pt
チームF41位	1476203 pt
チームF42位	1448354 pt
チームF43位	1448082 pt
チームF44位	1439108 pt
チームF45位	1435488 pt
チームF46位	1413151 pt
チームF47位	1410112 pt
チームF48位	1384829 pt
チームF49位	1376621 pt
チームF50位	1369200 pt
チームG21位	1016461 pt
チームG22位	1005465 pt
チームG23位	1005023 pt
チームG24位	1000067 pt
チームG25位	991836 pt
チームG26位	989281 pt
チームG27位	966011 pt
チームG28位	909390 pt
チームG29位	894747 pt
チームG30位	888511 pt
チームG31位	879124 pt
チームG32位	874026 pt
チームG33位	835442 pt
チームG34位	823224 pt
チームG35位	774081 pt
チームG36位	764838 pt
チームG37位	711679 pt
チームG38位	694851 pt
チームG39位	692691 pt
チームG40位	689928 pt
チームG41位	681741 pt
チームG42位	670273 pt
チームG43位	664117 pt
チームG44位	657550 pt
チームG45位	645405 pt
チームG46位	626058 pt
チームG47位	625142 pt
チームG48位	615974 pt
チームG49位	605099 pt
チームG50位	573468 pt
チームH21位	1205264 pt
チームH22位	1204648 pt
チームH23位	1186213 pt
チームH24位	1185455 pt
チームH25位	1167009 pt
チームH26位	1161775 pt
チームH27位	1150869 pt
チームH28位	1143761 pt
チームH29位	1120137 pt
チームH30位	1116241 pt
チームH31位	1109226 pt
チームH32位	1100200 pt
チームH33位	1098574 pt
チームH34位	1085407 pt
チームH35位	1080395 pt
チームH36位	1067838 pt
チームH37位	1056244 pt
チームH38位	1046623 pt
チームH39位	1020289 pt
チームH40位	1019059 pt
チームH41位	999995 pt
チームH42位	987708 pt
チームH43位	952888 pt
チームH44位	916909 pt
チームH45位	909328 pt
チームH46位	906667 pt
チームH47位	892171 pt
チームH48位	872801 pt
チームH49位	857695 pt
チームH50位	840674 pt
チームI21位	1641821 pt
チームI22位	1632939 pt
チームI23位	1588690 pt
チームI24位	1585600 pt
チームI25位	1575875 pt
チームI26位	1529230 pt
チームI27位	1520665 pt
チームI28位	1518775 pt
チームI29位	1516945 pt
チームI30位	1480703 pt
チームI31位	1457224 pt
チームI32位	1358550 pt
チームI33位	1346544 pt
チームI34位	1342361 pt
チームI35位	1320844 pt
チームI36位	1313991 pt
チームI37位	1308760 pt
チームI38位	1305419 pt
チームI39位	1297528 pt
チームI40位	1294578 pt
チームI41位	1294306 pt
チームI42位	1289991 pt
チームI43位	1278207 pt
チームI44位	1245596 pt
チームI45位	1214924 pt
チームI46位	1171975 pt
チームI47位	1167067 pt
チームI48位	1151947 pt
チームI49位	1146019 pt
チームI50位	1129371 pt
チームJ21位	1239984 pt
チームJ22位	1239112 pt
チームJ23位	1236907 pt
チームJ24位	1236072 pt
チームJ25位	1220700 pt
チームJ26位	1213238 pt
チームJ27位	1198348 pt
チームJ28位	1193077 pt
チームJ29位	1185248 pt
チームJ30位	1181763 pt
チームJ31位	1138668 pt
チームJ32位	1112097 pt
チームJ33位	1094284 pt
チームJ34位	1079270 pt
チームJ35位	1076287 pt
チームJ36位	1073225 pt
チームJ37位	1067623 pt
チームJ38位	1056493 pt
チームJ39位	1053660 pt
チームJ40位	1050743 pt
チームJ41位	1046853 pt
チームJ42位	1041775 pt
チームJ43位	1026773 pt
チームJ44位	1024839 pt
チームJ45位	1012390 pt
チームJ46位	985413 pt
チームJ47位	979308 pt
チームJ48位	975728 pt
チームJ49位	966075 pt
チームJ50位	940572 pt
※10/23 13:59 集計時点のポイントですBY SKDN
